"","Source","Target","Type","Id","Label","Interval","Weight"
"1","-Jbd9DsAAAAJ","MwIL3roAAAAJ","Direct","-Jbd9DsAAAAJ_MwIL3roAAAAJ","Direct","",1
"2","-spRnaQAAAAJ","6qE0tdAAAAAJ","Direct","-spRnaQAAAAJ_6qE0tdAAAAAJ","Direct","",1
"3","-UyfaYEAAAAJ","Lb4-GKsAAAAJ","Direct","-UyfaYEAAAAJ_Lb4-GKsAAAAJ","Direct","",1
"4","Lb4-GKsAAAAJ","puOEoqoAAAAJ","Direct","Lb4-GKsAAAAJ_puOEoqoAAAAJ","Direct","",1
"5","-UyfaYEAAAAJ","puOEoqoAAAAJ","Direct","-UyfaYEAAAAJ_puOEoqoAAAAJ","Direct","",1
"6","01EOkNEAAAAJ","l5mmRVoAAAAJ","Direct","01EOkNEAAAAJ_l5mmRVoAAAAJ","Direct","",1
"7","0cy3s0AAAAAJ","A0XsdIMAAAAJ","Direct","0cy3s0AAAAAJ_A0XsdIMAAAAJ","Direct","",1
"8","A0XsdIMAAAAJ","Sha9_3YAAAAJ","Direct","A0XsdIMAAAAJ_Sha9_3YAAAAJ","Direct","",1
"9","0cy3s0AAAAAJ","Sha9_3YAAAAJ","Direct","0cy3s0AAAAAJ_Sha9_3YAAAAJ","Direct","",1
"10","0RMteS0AAAAJ","hmq4rGIAAAAJ","Direct","0RMteS0AAAAJ_hmq4rGIAAAAJ","Direct","",1
"11","1fEZ_osAAAAJ","pKuBFaQAAAAJ","Direct","1fEZ_osAAAAJ_pKuBFaQAAAAJ","Direct","",1
"12","1h_0s3wAAAAJ","y0lYi-cAAAAJ","Direct","1h_0s3wAAAAJ_y0lYi-cAAAAJ","Direct","",1
"13","1NtRHc4AAAAJ","8ys-38kAAAAJ","Direct","1NtRHc4AAAAJ_8ys-38kAAAAJ","Direct","",1
"14","1z3mv7EAAAAJ","AzdflHYAAAAJ","Direct","1z3mv7EAAAAJ_AzdflHYAAAAJ","Direct","",1
"15","AzdflHYAAAAJ","qRAMJHgAAAAJ","Direct","AzdflHYAAAAJ_qRAMJHgAAAAJ","Direct","",1
"16","1z3mv7EAAAAJ","qRAMJHgAAAAJ","Direct","1z3mv7EAAAAJ_qRAMJHgAAAAJ","Direct","",1
"17","2FbkAzYAAAAJ","uSfaEgUAAAAJ","Direct","2FbkAzYAAAAJ_uSfaEgUAAAAJ","Direct","",1
"18","2i7uayYAAAAJ","FJ-huxgAAAAJ","Direct","2i7uayYAAAAJ_FJ-huxgAAAAJ","Direct","",1
"19","2mkaUvkAAAAJ","FyhRqdYAAAAJ","Direct","2mkaUvkAAAAJ_FyhRqdYAAAAJ","Direct","",1
"20","2oSSsLYAAAAJ","VGoSakQAAAAJ","Direct","2oSSsLYAAAAJ_VGoSakQAAAAJ","Direct","",1
"21","2oy3OXYAAAAJ","7eC3KMkAAAAJ","Direct","2oy3OXYAAAAJ_7eC3KMkAAAAJ","Direct","",1
"22","37frPb8AAAAJ","gqB23VMAAAAJ","Direct","37frPb8AAAAJ_gqB23VMAAAAJ","Direct","",1
"23","3meGuI8AAAAJ","PyuqtQcAAAAJ","Direct","3meGuI8AAAAJ_PyuqtQcAAAAJ","Direct","",1
"24","3pZs3j0AAAAJ","LQ87h3sAAAAJ","Direct","3pZs3j0AAAAJ_LQ87h3sAAAAJ","Direct","",1
"25","3XYmsKQAAAAJ","U-0PM_cAAAAJ","Direct","3XYmsKQAAAAJ_U-0PM_cAAAAJ","Direct","",1
"26","3_WYcR4AAAAJ","CZyWk8kAAAAJ","Direct","3_WYcR4AAAAJ_CZyWk8kAAAAJ","Direct","",1
"27","41m5j04AAAAJ","j7WSgbwAAAAJ","Direct","41m5j04AAAAJ_j7WSgbwAAAAJ","Direct","",1
"28","4OOz4DcAAAAJ","1wq5H9oAAAAJ","Direct","4OOz4DcAAAAJ_1wq5H9oAAAAJ","Direct","",1
"29","4q6YakgAAAAJ","OOLe2TIAAAAJ","Direct","4q6YakgAAAAJ_OOLe2TIAAAAJ","Direct","",1
"30","4XyoYbAAAAAJ","xfwOz_kAAAAJ","Direct","4XyoYbAAAAAJ_xfwOz_kAAAAJ","Direct","",1
"31","55pOyCkAAAAJ","puOEoqoAAAAJ","Direct","55pOyCkAAAAJ_puOEoqoAAAAJ","Direct","",1
"32","6HE56R8AAAAJ","Ormag-QAAAAJ","Direct","6HE56R8AAAAJ_Ormag-QAAAAJ","Direct","",1
"33","6P4bGWAAAAAJ","KWiJaj8AAAAJ","Direct","6P4bGWAAAAAJ_KWiJaj8AAAAJ","Direct","",1
"34","6qE0tdAAAAAJ","r49_E2cAAAAJ","Direct","6qE0tdAAAAAJ_r49_E2cAAAAJ","Direct","",1
"35","r49_E2cAAAAJ","V5FJ6pIAAAAJ","Direct","r49_E2cAAAAJ_V5FJ6pIAAAAJ","Direct","",1
"36","6qE0tdAAAAAJ","V5FJ6pIAAAAJ","Direct","6qE0tdAAAAAJ_V5FJ6pIAAAAJ","Direct","",1
"37","6t7Zm4oAAAAJ","7cys8kgAAAAJ","Direct","6t7Zm4oAAAAJ_7cys8kgAAAAJ","Direct","",1
"38","6vXTtDQAAAAJ","KICA5DoAAAAJ","Direct","6vXTtDQAAAAJ_KICA5DoAAAAJ","Direct","",1
"39","7btxQB0AAAAJ","u0BOuAsAAAAJ","Direct","7btxQB0AAAAJ_u0BOuAsAAAAJ","Direct","",1
"40","7egtxu0AAAAJ","VizsSmEAAAAJ","Direct","7egtxu0AAAAJ_VizsSmEAAAAJ","Direct","",1
"41","7FXtL98AAAAJ","MTZaRW4AAAAJ","Direct","7FXtL98AAAAJ_MTZaRW4AAAAJ","Direct","",1
"42","7lVfIWYAAAAJ","5m-oAesAAAAJ","Direct","7lVfIWYAAAAJ_5m-oAesAAAAJ","Direct","",1
"43","89vejUwAAAAJ","Bn0zSwQAAAAJ","Direct","89vejUwAAAAJ_Bn0zSwQAAAAJ","Direct","",1
"44","Bn0zSwQAAAAJ","GRGOG1AAAAAJ","Direct","Bn0zSwQAAAAJ_GRGOG1AAAAAJ","Direct","",1
"45","89vejUwAAAAJ","GRGOG1AAAAAJ","Direct","89vejUwAAAAJ_GRGOG1AAAAAJ","Direct","",1
"46","8AkiZd8AAAAJ","OGR--C0AAAAJ","Direct","8AkiZd8AAAAJ_OGR--C0AAAAJ","Direct","",1
"47","8fztli4AAAAJ","D_JpQnAAAAAJ","Direct","8fztli4AAAAJ_D_JpQnAAAAAJ","Direct","",1
"48","8odG5jkAAAAJ","izMnGyMAAAAJ","Direct","8odG5jkAAAAJ_izMnGyMAAAAJ","Direct","",1
"49","9s9o-JcAAAAJ","CZyWk8kAAAAJ","Direct","9s9o-JcAAAAJ_CZyWk8kAAAAJ","Direct","",1
"50","9VDFIQoAAAAJ","gg4kYgwAAAAJ","Direct","9VDFIQoAAAAJ_gg4kYgwAAAAJ","Direct","",1
"51","A45mhtsAAAAJ","gVUD47sAAAAJ","Direct","A45mhtsAAAAJ_gVUD47sAAAAJ","Direct","",1
"52","a7VNhCIAAAAJ","pKuBFaQAAAAJ","Direct","a7VNhCIAAAAJ_pKuBFaQAAAAJ","Direct","",1
