"","Id","Label","Interval","Weight","Dept","Orientation"
"1","-5ZxgGsAAAAJ","KENNETH DON MILLER ",0,1,"BIO","BIO"
"2","ca_O-WQAAAAJ","LARRY F ABBOTT ",0,3,"BIO","BIO"
"3","-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,3,"CS","CS"
"4","ZxXBaswAAAAJ","FRANK DELLAERT ",0,3,"CS","CS"
"5","LQ87h3sAAAAJ","TAKEO KANADE ",0,2,"CS","CS"
"6","0Qr2IGwAAAAJ","ZORAN POPOVI ",0,1,"CS","CS"
"7","-cwEbxUAAAAJ","CHRIS BAILEY-KELLOGG ",0,1,"CS","CS"
"8","TkayRqQAAAAJ","BRUCE RANDALL DONALD ",0,4,"CS","CS"
"9","-DEyRIgAAAAJ","AVITAL ADAH RODAL ",0,1,"BIO","BIO"
"10","-had2Q8AAAAJ","DAVID G DRUBIN ",0,1,"BIO","BIO"
"11","-iLn_XwAAAAJ","HOPI E HOEKSTRA ",0,1,"BIO","BIO"
"12","-m5wrTkAAAAJ","GAUTAM BISWAS ",0,2,"CS","CS"
"13","dShqnssAAAAJ","GABOR KARSAI ",0,2,"CS","CS"
"14","-PWcE1YAAAAJ","RAN CANETTI ",0,4,"CS","CS"
"15","gqB23VMAAAAJ","AMIT SAHAI ",0,5,"CS","CS"
"16","3yPEc4YAAAAJ","YEVGENIY DODIS ",0,2,"CS","CS"
"17","-rcrelQAAAAJ","TYSON L HEDRICK ",0,1,"BIO","BIO"
"18","oy7TshoAAAAJ","ANDREW AUSTIN BIEWENER ",0,2,"BIO","BIO"
"19","-spRnaQAAAAJ","JAVED ALEXANDER ASLAM ",0,1,"CS","CS"
"20","r49_E2cAAAAJ","CLIFFORD STEIN ",0,1,"CS","CS"
"21","-UyfaYEAAAAJ","STANLEY FALKOW ",0,3,"BIO","BIO"
"22","Lb4-GKsAAAAJ","DAVID A RELMAN ",0,1,"BIO","BIO"
"23","-YvgZDEAAAAJ","ABRAHAM SILBERSCHATZ ",0,1,"CS","CS"
"24","TciP6mcAAAAJ","PRASHANT J SHENOY ",0,2,"CS","CS"
"25","00M1AqQAAAAJ","JOHN DAVID KUBIATOWICZ ",0,6,"CS","CS"
