"","google_id","year","citations","coauthor_codes"
"1","--nVNvIAAAAJ",2015,8,"--nVNvIAAAAJ,2,1,1"
"2","--nVNvIAAAAJ",2015,29,"1,1,--nVNvIAAAAJ"
"3","--nVNvIAAAAJ",2015,10,"1,--nVNvIAAAAJ,1,cLb-v7gAAAAJ,1"
"4","--nVNvIAAAAJ",2015,1,"jLEgvnsAAAAJ,2,--nVNvIAAAAJ,1,1"
"5","-0CQuX8AAAAJ",2015,9,"0,0,-0CQuX8AAAAJ,0,0,0"
"6","-0CQuX8AAAAJ",2015,5,"-0CQuX8AAAAJ,0,2,0,0"
"7","-0CQuX8AAAAJ",2015,4,"-0CQuX8AAAAJ,0,0,0"
"8","-0CQuX8AAAAJ",2015,26,"0,0,2,0,-0CQuX8AAAAJ,2,0,0"
"9","-0nYQVIAAAAJ",2015,4,"0,2,-0nYQVIAAAAJ,kUwCxIUAAAAJ"
"10","-0nYQVIAAAAJ",2015,104,"0,0,-0nYQVIAAAAJ,0,2,0"
"11","-0nYQVIAAAAJ",2015,8,"2,-0nYQVIAAAAJ,kUwCxIUAAAAJ,0"
"12","-0nYQVIAAAAJ",2015,52,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0,0,0,0,0,0,0,0,0,0,0,2"
"13","-0nYQVIAAAAJ",2015,20,"0,0,mAbA6EoAAAAJ,0,0,2,0,0,0,0,2,0,-0nYQVIAAAAJ,0,0,8vsRBCgAAAAJ,0,2"
"14","-0nYQVIAAAAJ",2015,85,"0,-0nYQVIAAAAJ,0"
"15","-0nYQVIAAAAJ",2015,9,"0,mAbA6EoAAAAJ,0,0,2,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0"
"16","-0ppt6oAAAAJ",2015,6,"0,0,0,0,-0ppt6oAAAAJ"
"17","-0ppt6oAAAAJ",2015,7,"0,2,0,0,SagVxawAAAAJ,0,0,0,0,0,0,0,0,0,0,2,-0ppt6oAAAAJ"
"18","-0rEuLgAAAAJ",2015,2,"-0rEuLgAAAAJ,1,t_DFZvgAAAAJ"
"19","-0rEuLgAAAAJ",2015,7,"1,-0rEuLgAAAAJ,1,0_vvBZkAAAAJ,1"
"20","-0rEuLgAAAAJ",2015,4,"-0rEuLgAAAAJ,1,2"
"21","-0rEuLgAAAAJ",2015,15,"-0rEuLgAAAAJ,1,1,1"
"22","-0rEuLgAAAAJ",2015,3,"-0rEuLgAAAAJ,1"
"23","-0rEuLgAAAAJ",2015,8,"-0rEuLgAAAAJ,1,1,2,1,wbIMbL8AAAAJ,2"
"24","-0rEuLgAAAAJ",2015,6,"-0rEuLgAAAAJ,1,1,1,2"
"25","-234SKAAAAAJ",2015,2,"0,-234SKAAAAAJ,0,0,0,0,0,0"
"26","-234SKAAAAAJ",2015,10,"0,0,-234SKAAAAAJ,0,0,0"
"27","-234SKAAAAAJ",2015,40,"2,-234SKAAAAAJ,0,0,RKvl6OoAAAAJ"
"28","-234SKAAAAAJ",2015,6,"0,-234SKAAAAAJ,0,0,0,0,0,0,0,0,0,0"
"29","-234SKAAAAAJ",2015,7,"0,0,0,-234SKAAAAAJ,0,0,0"
"30","-234SKAAAAAJ",2015,24,"0,-234SKAAAAAJ,0,0,0,0"
"31","-31-oa0AAAAJ",2015,10,"YadECXsAAAAJ,-31-oa0AAAAJ,0,0,2,0,0,0,2,2,0,0,0,2,0"
"32","-31-oa0AAAAJ",2015,11,"YadECXsAAAAJ,0,-31-oa0AAAAJ,0,0,0,0,0"
"33","-31-oa0AAAAJ",2015,2,"0,-31-oa0AAAAJ,0,0,0"
"34","-5LVcdsAAAAJ",2015,9,"0,0,0,-5LVcdsAAAAJ,0,0,0,0"
"35","-5LVcdsAAAAJ",2015,9,"0,0,0,-5LVcdsAAAAJ,0,0,0,0,0"
"36","-5ZxgGsAAAAJ",2015,3,"0,0,0,-5ZxgGsAAAAJ,0"
"37","-5ZxgGsAAAAJ",2015,16,"0,-5ZxgGsAAAAJ,0"
"38","-5ZxgGsAAAAJ",2015,45,"0,-5ZxgGsAAAAJ,H3vXtAUAAAAJ"
"39","-6cOYcYAAAAJ",2015,2,"1,-6cOYcYAAAAJ"
"40","-6cOYcYAAAAJ",2015,8,"2,-6cOYcYAAAAJ,1"
"41","-6cOYcYAAAAJ",2015,20,"1,1,-6cOYcYAAAAJ"
"42","-6cOYcYAAAAJ",2015,1,"1,-6cOYcYAAAAJ,1"
"43","-6cOYcYAAAAJ",2015,11,"P97vI1EAAAAJ,-6cOYcYAAAAJ,1"
"44","-6cOYcYAAAAJ",2015,4,"1,1,-6cOYcYAAAAJ"
"45","-6cOYcYAAAAJ",2015,10,"1,1,P97vI1EAAAAJ,-6cOYcYAAAAJ"
"46","-6cOYcYAAAAJ",2015,103,"DqXsbPAAAAAJ,1,-6cOYcYAAAAJ"
"47","-6FYTfMAAAAJ",2015,1,"2,-6FYTfMAAAAJ,0"
"48","-6FYTfMAAAAJ",2015,5,"0,-6FYTfMAAAAJ,0"
