"","Id","Label","Interval","Weight","Dept","Orientation"
"1","--nVNvIAAAAJ","KYLE ANDREW JAMIESON ",0,3,"CS","CS"
"2","VuvKPiQAAAAJ","RODRIGO C FONSECA ",0,6,"CS","CS"
"3","cLb-v7gAAAAJ","SUMAN BANERJEE ",0,5,"CS","CS"
"4","jLEgvnsAAAAJ","GIOVANNI PAU ",0,8,"CS","XD"
"5","-0CQuX8AAAAJ","JINGYI FEI ",0,3,"BIO","BIO"
"6","wKoaJ-4AAAAJ","BIN WANG ",0,28,"BIO","XD"
"7","Lk38PP0AAAAJ","CARLOS J BUSTAMANTE ",0,12,"BIO","XD"
"8","a7LHl00AAAAJ","JOACHIM FRANK ",0,9,"BIO","XD"
"9","-0nYQVIAAAAJ","NATHAN JB KRAFT ",0,11,"BIO","BIO"
"10","kUwCxIUAAAAJ","RONG LI ",0,7,"BIO","XD"
"11","jv-19EoAAAAJ","NATHAN G SWENSON ",0,12,"BIO","BIO"
"12","nzTXeNsAAAAJ","JONATHAN A MYERS ",0,6,"BIO","BIO"
"13","1LG-V8EAAAAJ","NANCY C EMERY ",0,3,"BIO","BIO"
"14","mAbA6EoAAAAJ","BRIAN J ENQUIST ",0,20,"BIO","BIO"
"15","8vsRBCgAAAAJ","ROBERT K PEET ",0,3,"BIO","BIO"
"16","5NAFTkAAAAAJ","TADASHI FUKAMI ",0,9,"BIO","BIO"
"17","u-w6khsAAAAJ","ALLEN H HURLBERT ",0,5,"BIO","BIO"
"18","JEApEv4AAAAJ","CHRISTY M MCCAIN ",0,6,"BIO","BIO"
"19","AANigvoAAAAJ","ELLEN I DAMSCHEN ",0,10,"BIO","XD"
"20","-0ppt6oAAAAJ","YURY O CHERNOFF ",0,2,"BIO","BIO"
"21","R5nkatMAAAAJ","TAO PAN ",0,9,"BIO","BIO"
"22","SagVxawAAAAJ","KIRILL S LOBACHEV ",0,5,"BIO","XD"
"23","-0rEuLgAAAAJ","CHANGXI ZHENG ",0,4,"CS","CS"
"24","t_DFZvgAAAAJ","XIA ZHOU ",0,5,"CS","CS"
"25","0_vvBZkAAAAJ","EITAN GRINSPUN ",0,11,"CS","CS"
"26","wbIMbL8AAAAJ","WOJCIECH MATUSIK ",0,9,"CS","CS"
"27","r70ags0AAAAJ","DOUG L JAMES ",0,2,"CS","CS"
"28","-234SKAAAAAJ","FRANK JAMES STEWART ",0,3,"BIO","BIO"
"29","gpQ-Vh4AAAAJ","THOMAS J DICHRISTINA ",0,1,"BIO","BIO"
"30","RKvl6OoAAAAJ","IRENE LG NEWTON ",0,4,"BIO","BIO"
"31","8iofTEAAAAAJ","PETER RIAD GIRGUIS ",0,2,"BIO","BIO"
"32","-31-oa0AAAAJ","ERIC A WEBB ",0,5,"BIO","BIO"
"33","YadECXsAAAAJ","DAVID A HUTCHINS ",0,5,"BIO","BIO"
"34","Fz-5bdcAAAAJ","DOUGLAS G CAPONE ",0,6,"BIO","BIO"
"35","H15F-wYAAAAJ","JOSEPH P MONTOYA ",0,8,"BIO","BIO"
"36","vtcDGNYAAAAJ","TRACY ALAN VILLAREAL ",0,5,"BIO","BIO"
"37","-5LVcdsAAAAJ","MENG SHYAN CHOY ",0,1,"BIO","BIO"
"38","0qFMG6jnGtAC","GANESAN SENTHIL KUMAR ",0,2,"BIO","XD"
"39","-5ZxgGsAAAAJ","KENNETH DON MILLER ",0,1,"BIO","BIO"
"40","H3vXtAUAAAAJ","STEPHEN D HOOSER ",0,2,"BIO","BIO"
"41","-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,11,"CS","CS"
"42","P97vI1EAAAAJ","IRA KEMELMACHER-SHLIZERMAN ",0,1,"CS","CS"
"43","UjpbO6IAAAAJ","LUKE SEAN ZETTLEMOYER ",0,11,"CS","CS"
"44","Db4BCX8AAAAJ","NOAH SNAVELY ",0,15,"CS","CS"
"45","DqXsbPAAAAAJ","DIETER FOX ",0,10,"CS","CS"
"46","wCxzFrMAAAAJ","YASUTAKA FURUKAWA ",0,11,"CS","CS"
"47","Bwtxxf8AAAAJ","BERND STURMFELS ",0,10,"CS","CS"
"48","im5aMngAAAAJ","CHARLES PETER ELKAN ",0,12,"CS","XD"
"49","vthMwawAAAAJ","HENRIK WANN JENSEN ",0,11,"CS","CS"
"50","q0MzO6cAAAAJ","RAVI RAMAMOORTHI ",0,25,"CS","CS"
"51","ORr4XJYAAAAJ","SERGE J BELONGIE ",0,16,"CS","CS"
"52","s_YDrrgAAAAJ","TADAYOSHI KOHNO ",0,30,"CS","CS"
"53","-6FYTfMAAAAJ","HENRY M PAGE ",0,2,"BIO","BIO"
"54","uzDaznAAAAAJ","JOSHUA P SCHIMEL ",0,11,"BIO","BIO"
"55","-aQaHIoAAAAJ","GIACOMO BERNARDI ",0,4,"BIO","BIO"
"56","0vsEnW8AAAAJ","KIMBERLY A SELKOE ",0,4,"BIO","BIO"
"57","D9trGPkAAAAJ","THOMAS C ADAM ",0,1,"BIO","BIO"
"58","-BLWw_kAAAAJ","GABRIEL E ZENTNER ",0,1,"BIO","BIO"
"59","lNFZCgwAAAAJ","REMO ROHS ",0,4,"BIO","XD"
"60","-chjN0MAAAAJ","ROBERT M PRINGLE ",0,4,"BIO","XD"
"61","FXbbGUYAAAAJ","CORINA E TARNITA ",0,3,"BIO","BIO"
"62","7PeekG0AAAAJ","SIMON A LEVIN ",0,15,"BIO","BIO"
