"","Id","Label","Interval","Weight","Dept","Orientation"
"1","-0ppt6oAAAAJ","YURY O CHERNOFF ",0,1,"BIO","XD"
"2","-234SKAAAAAJ","FRANK JAMES STEWART ",0,1,"BIO","BIO"
"3","RKvl6OoAAAAJ","IRENE LG NEWTON ",0,1,"BIO","BIO"
"4","-31-oa0AAAAJ","ERIC A WEBB ",0,1,"BIO","BIO"
"5","eMc-6hoAAAAJ","IAN M EHRENREICH ",0,1,"BIO","BIO"
"6","-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,1,"CS","CS"
"7","YPzKczYAAAAJ","MANEESH AGRAWALA ",0,4,"CS","CS"
"8","-cwEbxUAAAAJ","CHRIS BAILEY-KELLOGG ",0,2,"CS","CS"
"9","Ws0GjboAAAAJ","JAN VITEK ",0,3,"CS","CS"
"10","UT5I0hAAAAAJ","OLGA VITEK ",0,2,"CS","CS"
"11","-D2TBHUAAAAJ","NOEMIE ELHADAD ",0,1,"BIO","XD"
"12","ujDhg2sAAAAJ","KATHLEEN R MCKEOWN ",0,2,"CS","XD"
"13","-DEyRIgAAAAJ","AVITAL ADAH RODAL ",0,1,"BIO","BIO"
"14","-had2Q8AAAAJ","DAVID G DRUBIN ",0,4,"BIO","BIO"
"15","-GT5PAkAAAAJ","PAUL ANTHONY FISHWICK ",0,1,"CS","CS"
"16","gNMqz_4AAAAJ","TIMOTHY A DAVIS ",0,1,"CS","CS"
"17","n-FCqMEAAAAJ","EVA NOGALES ",0,2,"BIO","BIO"
"18","sILsSIsAAAAJ","ADAM C MARTIN ",0,2,"BIO","BIO"
"19","PBo0rn4AAAAJ","MATTHEW D WELCH ",0,4,"BIO","BIO"
"20","-iLn_XwAAAAJ","HOPI E HOEKSTRA ",0,1,"BIO","BIO"
"21","GAOlOs4AAAAJ","MICHAEL W NACHMAN ",0,1,"BIO","BIO"
"22","-IMW-w0AAAAJ","BEICHUAN ZHANG ",0,3,"CS","CS"
"23","NcIqQ88AAAAJ","ANDREAS TERZIS ",0,3,"CS","CS"
