"","Source","Target","Type","Id","Label","Interval","Weight"
"1","--nVNvIAAAAJ","VuvKPiQAAAAJ","Direct","--nVNvIAAAAJ_VuvKPiQAAAAJ","Direct","",1
"2","--nVNvIAAAAJ","a1ngrCIAAAAJ","Direct","--nVNvIAAAAJ_a1ngrCIAAAAJ","Direct","",1
"3","--nVNvIAAAAJ","in6eBIwAAAAJ","Direct","--nVNvIAAAAJ_in6eBIwAAAAJ","Direct","",1
"4","-0CQuX8AAAAJ","NK7srJYAAAAJ","Direct","-0CQuX8AAAAJ_NK7srJYAAAAJ","Direct","",1
"5","-0CQuX8AAAAJ","wKoaJ-4AAAAJ","Direct","-0CQuX8AAAAJ_wKoaJ-4AAAAJ","Direct","",1
"6","-0nYQVIAAAAJ","JEApEv4AAAAJ","Direct","-0nYQVIAAAAJ_JEApEv4AAAAJ","Direct","",1
"7","JEApEv4AAAAJ","AANigvoAAAAJ","Direct","JEApEv4AAAAJ_AANigvoAAAAJ","Direct","",1
"8","-0nYQVIAAAAJ","AANigvoAAAAJ","Direct","-0nYQVIAAAAJ_AANigvoAAAAJ","Direct","",1
"9","-0rEuLgAAAAJ","r70ags0AAAAJ","Direct","-0rEuLgAAAAJ_r70ags0AAAAJ","Direct","",1
"10","-234SKAAAAAJ","RKvl6OoAAAAJ","Direct","-234SKAAAAAJ_RKvl6OoAAAAJ","Direct","",1
"11","-31-oa0AAAAJ","eMc-6hoAAAAJ","Direct","-31-oa0AAAAJ_eMc-6hoAAAAJ","Direct","",1
"12","-31-oa0AAAAJ","Fz-5bdcAAAAJ","Direct","-31-oa0AAAAJ_Fz-5bdcAAAAJ","Direct","",1
"13","-31-oa0AAAAJ","IjbhBJsAAAAJ","Direct","-31-oa0AAAAJ_IjbhBJsAAAAJ","Direct","",1
"14","-31-oa0AAAAJ","f4eLuf8AAAAJ","Direct","-31-oa0AAAAJ_f4eLuf8AAAAJ","Direct","",1
"15","-5ZxgGsAAAAJ","0gtvj54AAAAJ","Direct","-5ZxgGsAAAAJ_0gtvj54AAAAJ","Direct","",1
"16","-5ZxgGsAAAAJ","ca_O-WQAAAAJ","Direct","-5ZxgGsAAAAJ_ca_O-WQAAAAJ","Direct","",1
"17","-6cOYcYAAAAJ","HtgKHRIAAAAJ","Direct","-6cOYcYAAAAJ_HtgKHRIAAAAJ","Direct","",1
