"","Id","Label","Interval","Weight","Dept","Orientation"
"1","-cL-RwUAAAAJ","BARRY ANDREW TRIMMER ",0,1,"BIO","BIO"
"2","-Dg42W8AAAAJ","SARA M LEWIS ",0,1,"BIO","BIO"
"3","EAzpJiQAAAAJ","MARK E HAY ",0,1,"BIO","BIO"
"4","-had2Q8AAAAJ","DAVID G DRUBIN ",0,1,"BIO","BIO"
"5","C1c54H4AAAAJ","TIM STEARNS ",0,1,"BIO","BIO"
"6","-Jbd9DsAAAAJ","GOPAL GUPTA ",0,1,"CS","CS"
"7","MwIL3roAAAAJ","BHARAT JAYARAMAN ",0,1,"CS","CS"
"8","-spRnaQAAAAJ","JAVED ALEXANDER ASLAM ",0,1,"CS","CS"
"9","6qE0tdAAAAAJ","RONALD L RIVEST ",0,6,"CS","CS"
"10","-UyfaYEAAAAJ","STANLEY FALKOW ",0,2,"BIO","BIO"
"11","Lb4-GKsAAAAJ","DAVID A RELMAN ",0,2,"BIO","BIO"
"12","puOEoqoAAAAJ","THOMAS M SCHMIDT ",0,3,"BIO","BIO"
"13","01EOkNEAAAAJ","ROEL NUSSE ",0,1,"BIO","BIO"
"14","l5mmRVoAAAAJ","HENK ROELINK ",0,1,"BIO","BIO"
"15","05UuCNQAAAAJ","JERRY M MELILLO ",0,2,"BIO","BIO"
"16","EBnjjY8AAAAJ","EDWARD B RASTETTER ",0,2,"BIO","BIO"
"17","0cy3s0AAAAAJ","RACHEL D GREEN ",0,2,"BIO","BIO"
"18","A0XsdIMAAAAJ","ANDREW D ELLINGTON ",0,2,"BIO","BIO"
"19","Sha9_3YAAAAJ","J MICHAEL CHERRY ",0,2,"BIO","BIO"
"20","0fq5QeIAAAAJ","PAVEL A PEVZNER ",0,1,"CS","CS"
"21","ciQ3dn0AAAAJ","MARK YU BORODOVSKY ",0,1,"CS","CS"
"22","0iJRaawAAAAJ","JAMES P COHOON ",0,1,"CS","CS"
"23","gMQWxE0AAAAJ","SARTAJ KUMAR SAHNI ",0,4,"CS","CS"
"24","0IrZEuIAAAAJ","URSULA W GOODENOUGH ",0,1,"BIO","BIO"
"25","aVorcfUAAAAJ","MICHAEL P SHEETZ ",0,2,"BIO","BIO"
"26","0nBysEcAAAAJ","ALFRED KOBSA ",0,1,"CS","CS"
"27","0RMteS0AAAAJ","SHIVAKANT MISHRA ",0,1,"CS","CS"
"28","hmq4rGIAAAAJ","LARRY L PETERSON ",0,3,"CS","CS"
"29","0XV1sFsAAAAJ","SIMON SINSING LAM ",0,1,"CS","CS"
"30","GRGOG1AAAAAJ","MOHAMED G GOUDA ",0,4,"CS","CS"
"31","0y6JDD4AAAAJ","MAHADEV SATYANARAYANAN ",0,1,"CS","CS"
"32","9Y2cn3EAAAAJ","JAMES H MORRIS ",0,1,"CS","CS"
"33","1fEZ_osAAAAJ","BABA C VEMURI ",0,1,"CS","CS"
"34","pKuBFaQAAAAJ","DEMETRI TERZOPOULOS ",0,2,"CS","CS"
"35","1h_0s3wAAAAJ","SUSAN KAYE MCCONNELL ",0,1,"BIO","BIO"
"36","y0lYi-cAAAAJ","MICHAEL E DAILEY ",0,1,"BIO","BIO"
"37","1jE4flwAAAAJ","DONALD ALVIN LEVIN ",0,1,"BIO","BIO"
"38","8v1PvG1CERwC","KEITH CLAY ",0,1,"BIO","BIO"
"39","1NtRHc4AAAAJ","L THORNE MCCARTY ",0,1,"CS","CS"
"40","8ys-38kAAAAJ","WILLIAM W COHEN ",0,1,"CS","CS"
"41","1wq5H9oAAAAJ","ROBERT A WEINBERG ",0,1,"BIO","BIO"
"42","1z3mv7EAAAAJ","LUBERT STRYER ",0,2,"BIO","BIO"
"43","qRAMJHgAAAAJ","TOBIAS MEYER ",0,2,"BIO","BIO"
"44","AzdflHYAAAAJ","THEODORE G WENSEL ",0,3,"BIO","BIO"
"45","2Ay8qC4AAAAJ","ANNE MOSCONA ",0,1,"BIO","BIO"
"46","ieD5uTEAAAAJ","JEFFREY D PARVIN ",0,1,"BIO","BIO"
"47","2Bc3UN4AAAAJ","ROBERT T COLLINS ",0,1,"CS","CS"
"48","2FbkAzYAAAAJ","MANUELA M VELOSO ",0,1,"CS","CS"
"49","uSfaEgUAAAAJ","JAIME G CARBONELL ",0,6,"CS","CS"
"50","2i7uayYAAAAJ","DAVI GEIGER ",0,1,"CS","CS"
"51","FJ-huxgAAAAJ","ALAN L YUILLE ",0,1,"CS","CS"
"52","2mkaUvkAAAAJ","TYLER A VOLK ",0,1,"BIO","BIO"
"53","FyhRqdYAAAAJ","MICHAEL R RAMPINO ",0,1,"BIO","BIO"
"54","2OJOZTUAAAAJ","BOLESLAW K SZYMANSKI ",0,1,"CS","CS"
"55","kBGGEjUAAAAJ","INSUP LEE ",0,2,"CS","CS"
"56","2oSSsLYAAAAJ","RICK L STEVENS ",0,1,"CS","CS"
"57","VGoSakQAAAAJ","IAN T FOSTER ",0,1,"CS","CS"
"58","2oy3OXYAAAAJ","STUART J RUSSELL ",0,1,"CS","CS"
"59","7eC3KMkAAAAJ","DEVIKA SUBRAMANIAN ",0,1,"CS","CS"
"60","37frPb8AAAAJ","SALIL PRAVIN VADHAN ",0,1,"CS","CS"
"61","gqB23VMAAAAJ","AMIT SAHAI ",0,1,"CS","CS"
"62","38ev4xkAAAAJ","DAVID F FERNANDEZ-BACA ",0,1,"CS","CS"
"63","VoAHydgAAAAJ","DAN GUSFIELD ",0,1,"CS","CS"
"64","3meGuI8AAAAJ","SUSAN IRMA GIBSON ",0,1,"BIO","XD"
"65","PyuqtQcAAAAJ","JAMES LESLIE BECK ",0,3,"CS","XD"
"66","3pZs3j0AAAAJ","SHREE K NAYAR ",0,1,"CS","CS"
"67","LQ87h3sAAAAJ","TAKEO KANADE ",0,5,"CS","CS"
"68","3S5qpXsAAAAJ","CARL A GUNTER ",0,1,"CS","CS"
"69","kWnv_YkAAAAJ","RAJEEV ALUR ",0,2,"CS","CS"
"70","3xIRwTgAAAAJ","BARNEY A SCHLINGER ",0,1,"BIO","BIO"
"71","aiMWCUwAAAAJ","ARTHUR P ARNOLD ",0,1,"BIO","BIO"
"72","3XYmsKQAAAAJ","MUKKAI S KRISHNAMOORTHY ",0,2,"CS","CS"
"73","nztNRM0AAAAJ","MAHESH VISWANATHAN ",0,1,"CS","CS"
"74","U-0PM_cAAAAJ","B DAVID SAUNDERS ",0,1,"CS","CS"
"75","3_WYcR4AAAAJ","DEBORAH E ESTRIN ",0,2,"CS","CS"
"76","CZyWk8kAAAAJ","LIXIA ZHANG ",0,3,"CS","CS"
"77","41m5j04AAAAJ","CHILUKURI KRISHNA MOHAN ",0,1,"CS","CS"
"78","j7WSgbwAAAAJ","SANJAY RANKA ",0,2,"CS","CS"
"79","4esyQS4AAAAJ","ANSELM CYRIL BLUMER ",0,1,"CS","CS"
"80","JXsWja0AAAAJ","ROSS M MCCONNELL ",0,1,"CS","CS"
"81","4LCdnkYAAAAJ","GREGORY R ANDREWS ",0,2,"CS","CS"
"82","sxjynOsAAAAJ","FRED B SCHNEIDER ",0,3,"CS","CS"
"83","4Mj-BjwAAAAJ","MARY JANE IRWIN ",0,1,"CS","CS"
"84","UUAn_V8AAAAJ","DOUGLAS S REEVES ",0,2,"CS","CS"
"85","4n8JCSgAAAAJ","RALF D BROWN ",0,1,"CS","CS"
"86","4OOz4DcAAAAJ","JOHN DORRANCE MINNA ",0,1,"BIO","BIO"
"87","4pkd0FsAAAAJ","RICHARD L STROSHINE ",0,1,"BIO","BIO"
"88","4PYV1OEAAAAJ","SAMUEL SH WANG ",0,1,"BIO","XD"
"89","4q6YakgAAAAJ","JAMES J CIMINO ",0,2,"BIO","BIO"
"90","OOLe2TIAAAAJ","CAROL FRIEDMAN ",0,2,"BIO","BIO"
"91","4SYHiigAAAAJ","MARK KIRKPATRICK ",0,1,"BIO","BIO"
"92","8v3hRYcAAAAJ","JAMES JEFFREY BULL ",0,3,"BIO","BIO"
"93","4Ts9jNQAAAAJ","ALAN D SUSSMAN ",0,2,"CS","CS"
"94","4VJre9IAAAAJ","JOHN A STANKOVIC ",0,1,"CS","CS"
