"","Source","Target","Type","Id","Label","Interval","Weight"
"1","-6cOYcYAAAAJ","VizsSmEAAAAJ","Direct","-6cOYcYAAAAJ_VizsSmEAAAAJ","Direct","",1
"2","-had2Q8AAAAJ","kUwCxIUAAAAJ","Direct","-had2Q8AAAAJ_kUwCxIUAAAAJ","Direct","",1
"3","-HwCwkAAAAAJ","cFbbY_gAAAAJ","Direct","-HwCwkAAAAAJ_cFbbY_gAAAAJ","Direct","",1
"4","-XpZ4fgAAAAJ","Wov5tYoAAAAJ","Direct","-XpZ4fgAAAAJ_Wov5tYoAAAAJ","Direct","",1
"5","-YvgZDEAAAAJ","SKVnHakAAAAJ","Direct","-YvgZDEAAAAJ_SKVnHakAAAAJ","Direct","",1
"6","00M1AqQAAAAJ","U6OVPVMAAAAJ","Direct","00M1AqQAAAAJ_U6OVPVMAAAAJ","Direct","",1
"7","02nHF0gAAAAJ","67aYFTQAAAAJ","Direct","02nHF0gAAAAJ_67aYFTQAAAAJ","Direct","",1
"8","05UuCNQAAAAJ","wQzELzEAAAAJ","Direct","05UuCNQAAAAJ_wQzELzEAAAAJ","Direct","",1
"9","05UuCNQAAAAJ","EBnjjY8AAAAJ","Direct","05UuCNQAAAAJ_EBnjjY8AAAAJ","Direct","",1
"10","05UuCNQAAAAJ","D9UDlHYAAAAJ","Direct","05UuCNQAAAAJ_D9UDlHYAAAAJ","Direct","",1
"11","0ESwQagAAAAJ","nVksQusAAAAJ","Direct","0ESwQagAAAAJ_nVksQusAAAAJ","Direct","",1
"12","0fq5QeIAAAAJ","NzQu5SwAAAAJ","Direct","0fq5QeIAAAAJ_NzQu5SwAAAAJ","Direct","",1
"13","0fVKnEcAAAAJ","wjPrcoUAAAAJ","Direct","0fVKnEcAAAAJ_wjPrcoUAAAAJ","Direct","",1
"14","0iJRaawAAAAJ","YTJrQA4AAAAJ","Direct","0iJRaawAAAAJ_YTJrQA4AAAAJ","Direct","",1
"15","0XV1sFsAAAAJ","kEM42bEAAAAJ","Direct","0XV1sFsAAAAJ_kEM42bEAAAAJ","Direct","",1
"16","1LUuMc8AAAAJ","QZrx9MEAAAAJ","Direct","1LUuMc8AAAAJ_QZrx9MEAAAAJ","Direct","",1
"17","1somGYUAAAAJ","5--K4tgAAAAJ","Direct","1somGYUAAAAJ_5--K4tgAAAAJ","Direct","",1
"18","1wq5H9oAAAAJ","ieD5uTEAAAAJ","Direct","1wq5H9oAAAAJ_ieD5uTEAAAAJ","Direct","",1
"19","1xfwEBAAAAAJ","ND0FM6EAAAAJ","Direct","1xfwEBAAAAAJ_ND0FM6EAAAAJ","Direct","",1
"20","2ewb-10AAAAJ","BnxU9TEAAAAJ","Direct","2ewb-10AAAAJ_BnxU9TEAAAAJ","Direct","",1
"21","2FbkAzYAAAAJ","uSfaEgUAAAAJ","Direct","2FbkAzYAAAAJ_uSfaEgUAAAAJ","Direct","",1
"22","2FbkAzYAAAAJ","qnwjcfAAAAAJ","Direct","2FbkAzYAAAAJ_qnwjcfAAAAAJ","Direct","",1
"23","2FbkAzYAAAAJ","tpoh43QAAAAJ","Direct","2FbkAzYAAAAJ_tpoh43QAAAAJ","Direct","",1
"24","2i7uayYAAAAJ","FJ-huxgAAAAJ","Direct","2i7uayYAAAAJ_FJ-huxgAAAAJ","Direct","",1
"25","2kXsgI4AAAAJ","Zc018qEAAAAJ","Direct","2kXsgI4AAAAJ_Zc018qEAAAAJ","Direct","",1
"26","2M8BWDkAAAAJ","90qiDCwAAAAJ","Direct","2M8BWDkAAAAJ_90qiDCwAAAAJ","Direct","",1
"27","2oSSsLYAAAAJ","VGoSakQAAAAJ","Direct","2oSSsLYAAAAJ_VGoSakQAAAAJ","Direct","",1
"28","2oy3OXYAAAAJ","q_n7d6EAAAAJ","Direct","2oy3OXYAAAAJ_q_n7d6EAAAAJ","Direct","",1
"29","2oy3OXYAAAAJ","UruIct4AAAAJ","Direct","2oy3OXYAAAAJ_UruIct4AAAAJ","Direct","",1
"30","2oy3OXYAAAAJ","7eC3KMkAAAAJ","Direct","2oy3OXYAAAAJ_7eC3KMkAAAAJ","Direct","",1
"31","2oy3OXYAAAAJ","oY9R5YQAAAAJ","Direct","2oy3OXYAAAAJ_oY9R5YQAAAAJ","Direct","",1
"32","2pW1g5IAAAAJ","gUEkPQEAAAAJ","Direct","2pW1g5IAAAAJ_gUEkPQEAAAAJ","Direct","",1
"33","gUEkPQEAAAAJ","54w2_AcAAAAJ","Direct","gUEkPQEAAAAJ_54w2_AcAAAAJ","Direct","",1
"34","2pW1g5IAAAAJ","54w2_AcAAAAJ","Direct","2pW1g5IAAAAJ_54w2_AcAAAAJ","Direct","",1
"35","2s9_ZWgAAAAJ","q82gOawAAAAJ","Direct","2s9_ZWgAAAAJ_q82gOawAAAAJ","Direct","",1
"36","q82gOawAAAAJ","fIoDWp8AAAAJ","Direct","q82gOawAAAAJ_fIoDWp8AAAAJ","Direct","",1
"37","2s9_ZWgAAAAJ","fIoDWp8AAAAJ","Direct","2s9_ZWgAAAAJ_fIoDWp8AAAAJ","Direct","",1
"38","2upx1AcAAAAJ","whhr40wAAAAJ","Direct","2upx1AcAAAAJ_whhr40wAAAAJ","Direct","",1
"39","2vQRGrYAAAAJ","Yy6xbCYAAAAJ","Direct","2vQRGrYAAAAJ_Yy6xbCYAAAAJ","Direct","",1
"40","2vQRGrYAAAAJ","RUP4S68AAAAJ","Direct","2vQRGrYAAAAJ_RUP4S68AAAAJ","Direct","",1
"41","2X5Wru0AAAAJ","HVtSJJsAAAAJ","Direct","2X5Wru0AAAAJ_HVtSJJsAAAAJ","Direct","",1
"42","3siz6_0AAAAJ","wkC9xHMAAAAJ","Direct","3siz6_0AAAAJ_wkC9xHMAAAAJ","Direct","",1
"43","wkC9xHMAAAAJ","e8e5qGcAAAAJ","Direct","wkC9xHMAAAAJ_e8e5qGcAAAAJ","Direct","",1
"44","3siz6_0AAAAJ","e8e5qGcAAAAJ","Direct","3siz6_0AAAAJ_e8e5qGcAAAAJ","Direct","",1
"45","3xIRwTgAAAAJ","aiMWCUwAAAAJ","Direct","3xIRwTgAAAAJ_aiMWCUwAAAAJ","Direct","",1
"46","41m5j04AAAAJ","j7WSgbwAAAAJ","Direct","41m5j04AAAAJ_j7WSgbwAAAAJ","Direct","",1
"47","4n8JCSgAAAAJ","55fqxgwAAAAJ","Direct","4n8JCSgAAAAJ_55fqxgwAAAAJ","Direct","",1
"48","4q6YakgAAAAJ","pNKH6b8AAAAJ","Direct","4q6YakgAAAAJ_pNKH6b8AAAAJ","Direct","",1
"49","4q6YakgAAAAJ","OOLe2TIAAAAJ","Direct","4q6YakgAAAAJ_OOLe2TIAAAAJ","Direct","",1
"50","4Ts9jNQAAAAJ","kOUPR1sAAAAJ","Direct","4Ts9jNQAAAAJ_kOUPR1sAAAAJ","Direct","",1
"51","4veQB4cAAAAJ","7X0YfAcAAAAJ","Direct","4veQB4cAAAAJ_7X0YfAcAAAAJ","Direct","",1
"52","4veQB4cAAAAJ","IPbxgZkAAAAJ","Direct","4veQB4cAAAAJ_IPbxgZkAAAAJ","Direct","",1
"53","4XyoYbAAAAAJ","xfwOz_kAAAAJ","Direct","4XyoYbAAAAAJ_xfwOz_kAAAAJ","Direct","",1
"54","55pOyCkAAAAJ","nt2k598AAAAJ","Direct","55pOyCkAAAAJ_nt2k598AAAAJ","Direct","",1
"55","5C4hZEgAAAAJ","oAj9a-wAAAAJ","Direct","5C4hZEgAAAAJ_oAj9a-wAAAAJ","Direct","",1
"56","5wgTi1AAAAAJ","rfayeocAAAAJ","Direct","5wgTi1AAAAAJ_rfayeocAAAAJ","Direct","",1
"57","rfayeocAAAAJ","heYuqBkAAAAJ","Direct","rfayeocAAAAJ_heYuqBkAAAAJ","Direct","",1
"58","5wgTi1AAAAAJ","heYuqBkAAAAJ","Direct","5wgTi1AAAAAJ_heYuqBkAAAAJ","Direct","",1
"59","628Jn7UAAAAJ","tI8OPH0AAAAJ","Direct","628Jn7UAAAAJ_tI8OPH0AAAAJ","Direct","",1
"60","6IHX8J4AAAAJ","3_WYcR4AAAAJ","Direct","6IHX8J4AAAAJ_3_WYcR4AAAAJ","Direct","",1
"61","6P4bGWAAAAAJ","KWiJaj8AAAAJ","Direct","6P4bGWAAAAAJ_KWiJaj8AAAAJ","Direct","",1
"62","6P4bGWAAAAAJ","YrihYtsAAAAJ","Direct","6P4bGWAAAAAJ_YrihYtsAAAAJ","Direct","",1
"63","6qE0tdAAAAAJ","tu39-p8AAAAJ","Direct","6qE0tdAAAAAJ_tu39-p8AAAAJ","Direct","",1
"64","6s2hs3oAAAAJ","UCiXhq4AAAAJ","Direct","6s2hs3oAAAAJ_UCiXhq4AAAAJ","Direct","",1
