"","Source","Target","Type","Id","Label","Interval","Weight"
"1","--nVNvIAAAAJ","VuvKPiQAAAAJ","Direct","--nVNvIAAAAJ_VuvKPiQAAAAJ","Direct","",1
"2","--nVNvIAAAAJ","cLb-v7gAAAAJ","Direct","--nVNvIAAAAJ_cLb-v7gAAAAJ","Direct","",1
"3","--nVNvIAAAAJ","jLEgvnsAAAAJ","Direct","--nVNvIAAAAJ_jLEgvnsAAAAJ","Direct","",1
"4","-0CQuX8AAAAJ","wKoaJ-4AAAAJ","Direct","-0CQuX8AAAAJ_wKoaJ-4AAAAJ","Direct","",1
"5","-0CQuX8AAAAJ","Lk38PP0AAAAJ","Direct","-0CQuX8AAAAJ_Lk38PP0AAAAJ","Direct","",1
"6","-0CQuX8AAAAJ","a7LHl00AAAAJ","Direct","-0CQuX8AAAAJ_a7LHl00AAAAJ","Direct","",1
"7","-0nYQVIAAAAJ","kUwCxIUAAAAJ","Direct","-0nYQVIAAAAJ_kUwCxIUAAAAJ","Direct","",1
"8","-0nYQVIAAAAJ","jv-19EoAAAAJ","Direct","-0nYQVIAAAAJ_jv-19EoAAAAJ","Direct","",1
"9","-0nYQVIAAAAJ","nzTXeNsAAAAJ","Direct","-0nYQVIAAAAJ_nzTXeNsAAAAJ","Direct","",1
"10","nzTXeNsAAAAJ","jv-19EoAAAAJ","Direct","nzTXeNsAAAAJ_jv-19EoAAAAJ","Direct","",1
"11","-0nYQVIAAAAJ","1LG-V8EAAAAJ","Direct","-0nYQVIAAAAJ_1LG-V8EAAAAJ","Direct","",1
"12","-0nYQVIAAAAJ","mAbA6EoAAAAJ","Direct","-0nYQVIAAAAJ_mAbA6EoAAAAJ","Direct","",1
"13","mAbA6EoAAAAJ","8vsRBCgAAAAJ","Direct","mAbA6EoAAAAJ_8vsRBCgAAAAJ","Direct","",1
"14","-0nYQVIAAAAJ","8vsRBCgAAAAJ","Direct","-0nYQVIAAAAJ_8vsRBCgAAAAJ","Direct","",1
"15","-0nYQVIAAAAJ","5NAFTkAAAAAJ","Direct","-0nYQVIAAAAJ_5NAFTkAAAAAJ","Direct","",1
"16","-0nYQVIAAAAJ","u-w6khsAAAAJ","Direct","-0nYQVIAAAAJ_u-w6khsAAAAJ","Direct","",1
"17","u-w6khsAAAAJ","nzTXeNsAAAAJ","Direct","u-w6khsAAAAJ_nzTXeNsAAAAJ","Direct","",1
"18","u-w6khsAAAAJ","jv-19EoAAAAJ","Direct","u-w6khsAAAAJ_jv-19EoAAAAJ","Direct","",1
"19","mAbA6EoAAAAJ","jv-19EoAAAAJ","Direct","mAbA6EoAAAAJ_jv-19EoAAAAJ","Direct","",1
"20","-0nYQVIAAAAJ","JEApEv4AAAAJ","Direct","-0nYQVIAAAAJ_JEApEv4AAAAJ","Direct","",1
"21","JEApEv4AAAAJ","AANigvoAAAAJ","Direct","JEApEv4AAAAJ_AANigvoAAAAJ","Direct","",1
"22","-0nYQVIAAAAJ","AANigvoAAAAJ","Direct","-0nYQVIAAAAJ_AANigvoAAAAJ","Direct","",1
"23","-0ppt6oAAAAJ","R5nkatMAAAAJ","Direct","-0ppt6oAAAAJ_R5nkatMAAAAJ","Direct","",1
"24","-0ppt6oAAAAJ","SagVxawAAAAJ","Direct","-0ppt6oAAAAJ_SagVxawAAAAJ","Direct","",1
"25","-0rEuLgAAAAJ","t_DFZvgAAAAJ","Direct","-0rEuLgAAAAJ_t_DFZvgAAAAJ","Direct","",1
"26","-0rEuLgAAAAJ","0_vvBZkAAAAJ","Direct","-0rEuLgAAAAJ_0_vvBZkAAAAJ","Direct","",1
"27","-0rEuLgAAAAJ","wbIMbL8AAAAJ","Direct","-0rEuLgAAAAJ_wbIMbL8AAAAJ","Direct","",1
"28","-0rEuLgAAAAJ","r70ags0AAAAJ","Direct","-0rEuLgAAAAJ_r70ags0AAAAJ","Direct","",1
"29","-234SKAAAAAJ","gpQ-Vh4AAAAJ","Direct","-234SKAAAAAJ_gpQ-Vh4AAAAJ","Direct","",1
"30","-234SKAAAAAJ","RKvl6OoAAAAJ","Direct","-234SKAAAAAJ_RKvl6OoAAAAJ","Direct","",1
"31","-234SKAAAAAJ","8iofTEAAAAAJ","Direct","-234SKAAAAAJ_8iofTEAAAAAJ","Direct","",1
"32","-31-oa0AAAAJ","YadECXsAAAAJ","Direct","-31-oa0AAAAJ_YadECXsAAAAJ","Direct","",1
"33","-31-oa0AAAAJ","Fz-5bdcAAAAJ","Direct","-31-oa0AAAAJ_Fz-5bdcAAAAJ","Direct","",1
"34","Fz-5bdcAAAAJ","H15F-wYAAAAJ","Direct","Fz-5bdcAAAAJ_H15F-wYAAAAJ","Direct","",1
"35","-31-oa0AAAAJ","H15F-wYAAAAJ","Direct","-31-oa0AAAAJ_H15F-wYAAAAJ","Direct","",1
"36","Fz-5bdcAAAAJ","vtcDGNYAAAAJ","Direct","Fz-5bdcAAAAJ_vtcDGNYAAAAJ","Direct","",1
"37","-31-oa0AAAAJ","vtcDGNYAAAAJ","Direct","-31-oa0AAAAJ_vtcDGNYAAAAJ","Direct","",1
"38","-5LVcdsAAAAJ","0qFMG6jnGtAC","Direct","-5LVcdsAAAAJ_0qFMG6jnGtAC","Direct","",1
"39","-5ZxgGsAAAAJ","H3vXtAUAAAAJ","Direct","-5ZxgGsAAAAJ_H3vXtAUAAAAJ","Direct","",1
"40","-6cOYcYAAAAJ","P97vI1EAAAAJ","Direct","-6cOYcYAAAAJ_P97vI1EAAAAJ","Direct","",1
"41","-6cOYcYAAAAJ","UjpbO6IAAAAJ","Direct","-6cOYcYAAAAJ_UjpbO6IAAAAJ","Direct","",1
"42","-6cOYcYAAAAJ","Db4BCX8AAAAJ","Direct","-6cOYcYAAAAJ_Db4BCX8AAAAJ","Direct","",1
"43","-6cOYcYAAAAJ","DqXsbPAAAAAJ","Direct","-6cOYcYAAAAJ_DqXsbPAAAAAJ","Direct","",1
"44","Db4BCX8AAAAJ","wCxzFrMAAAAJ","Direct","Db4BCX8AAAAJ_wCxzFrMAAAAJ","Direct","",1
"45","-6cOYcYAAAAJ","wCxzFrMAAAAJ","Direct","-6cOYcYAAAAJ_wCxzFrMAAAAJ","Direct","",1
