"","Id","Label","Interval","Weight","Dept","Orientation"
"73","-XpZ4fgAAAAJ","SCOTT ALAN MAHLKE ",0,4,"CS","CS"
"74","d1KEK84AAAAJ","TREVOR NIGEL MUDGE ",0,5,"CS","CS"
"75","5wgTi1AAAAAJ","STEPHANE LAFORTUNE ",0,1,"CS","CS"
"76","zlzK-v0AAAAJ","AVIRAL SHRIVASTAVA ",0,5,"CS","CS"
"77","-yrzguMAAAAJ","SRINIVAS DEVADAS ",0,2,"CS","XD"
"78","GljRwkUAAAAJ","MARK M DAVIS ",0,2,"BIO","XD"
"79","0-hcsnoAAAAJ","ELIZABETH LOWDEN BRAINERD ",0,1,"BIO","BIO"
"80","008lr2cAAAAJ","TOBIAS HANS HOELLERER ",0,12,"CS","CS"
"81","00M1AqQAAAAJ","JOHN DAVID KUBIATOWICZ ",0,1,"CS","CS"
"82","e4I7ihkAAAAJ","KRSTE ASANOVIC ",0,2,"CS","CS"
"83","022gx2QAAAAJ","MARCO MANGONE ",0,7,"BIO","BIO"
"84","LgF3Ds0AAAAJ","FABIO PIANO ",0,9,"BIO","XD"
"85","nq-EK3QAAAAJ","JOHN K KIM ",0,7,"BIO","BIO"
"86","SxRtS5sAAAAJ","KOUROSH SALEHI-ASHTIANI ",0,4,"BIO","BIO"
"87","XmjbcDAAAAAJ","KRISTIN C GUNSALUS ",0,8,"BIO","XD"
"88","XGnfm1UkTfgC","ANDREAS RECHTSTEINER ",0,7,"BIO","BIO"
"89","VBkNT98AAAAJ","DAVID M MILLER ",0,7,"BIO","BIO"
"90","8syZZBAAAAAJ","SEVINC ERCAN ",0,6,"BIO","BIO"
"91","02nHF0gAAAAJ","RAJESH PN RAO ",0,1,"CS","CS"
"92","04pdXhgAAAAJ","PEIXUAN GUO ",0,2,"BIO","XD"
"93","NEqM-4IAAAAJ","R HOLLAND CHENG ",0,2,"BIO","XD"
"94","N3Jc1zMAAAAJ","YING CAI ",0,2,"CS","XD"
"95","05cijuQAAAAJ","PHILIP LF JOHNSON ",0,4,"BIO","BIO"
"96","RvETgnYAAAAJ","FRANK W ALBERT ",0,1,"BIO","BIO"
"97","LXVfPc8AAAAJ","ERIC S LANDER ",0,13,"BIO","XD"
"98","OZMQ0J0AAAAJ","JEFFREY D JENSEN ",0,5,"BIO","BIO"
"99","PySbfcEAAAAJ","RASMUS NIELSEN ",0,8,"BIO","XD"
"100","05UuCNQAAAAJ","JERRY M MELILLO ",0,1,"BIO","BIO"
"101","jRd24DQAAAAJ","JAMES W MCCLELLAND ",0,1,"BIO","BIO"
"102","060zUaAAAAAJ","KAREN L CARLETON ",0,2,"BIO","BIO"
"103","06hgT8gAAAAJ","TAESOO KIM ",0,2,"CS","CS"
"104","uy1OB3YAAAAJ","XI WANG ",0,2,"CS","CS"
"105","07ds-DAAAAAJ","JENNIFER LYNN REXFORD ",0,11,"CS","CS"
"106","xYfYnG4AAAAJ","NICK FEAMSTER ",0,3,"CS","CS"
"107","BFE6IQwAAAAJ","MICHAEL J FREEDMAN ",0,11,"CS","CS"
"108","gvo0nMsAAAAJ","KEVIN RB BUTLER ",0,3,"CS","CS"
"109","AMGqrI0AAAAJ","PATRICK DREW MCDANIEL ",0,7,"CS","CS"
"110","sfuwsSwAAAAJ","CONSTANTINE DOVROLIS ",0,2,"CS","CS"
"111","K1cZ7SsAAAAJ","MINLAN YU ",0,2,"CS","CS"
"112","UEI2g60AAAAJ","DAVID PATRICK WALKER ",0,5,"CS","CS"
"113","AH5j40kAAAAJ","NATE FOSTER ",0,4,"CS","CS"
"114","lJ8qjPAAAAAJ","SHARON GOLDBERG ",0,1,"CS","CS"
"115","07Z4HAQAAAAJ","VARUN CHANDOLA ",0,2,"CS","CS"
"116","y-JsL4kAAAAJ","RANGA RAJU VATSAVAI ",0,3,"CS","CS"
"117","BnxU9TEAAAAJ","VIPIN KUMAR ",0,6,"CS","XD"
"118","099CBXIAAAAJ","PAUL MITAARI MAGWENE ",0,1,"BIO","BIO"
"119","_17pBNsAAAAJ","JOSHUA A GRANEK ",0,1,"BIO","BIO"
"120","0Bi5CMgAAAAJ","ARVIND NARAYANAN ",0,1,"CS","CS"
"121","MwLqCs4AAAAJ","DAN BONEH ",0,1,"CS","CS"
"122","0cy3s0AAAAAJ","RACHEL D GREEN ",0,2,"BIO","BIO"
"123","LNnZEd4AAAAJ","BEN SHEN ",0,2,"BIO","BIO"
"124","FNXlCHUAAAAJ","HANI S ZAHER ",0,1,"BIO","BIO"
"125","0dIBL4AAAAAJ","PERISTERA PASCHOU ",0,1,"BIO","XD"
"126","Yw2PquQAAAAJ","PETROS DRINEAS ",0,1,"CS","XD"
"127","0fq5QeIAAAAJ","PAVEL A PEVZNER ",0,4,"CS","XD"
"128","dufShEsAAAAJ","NUNO BANDEIRA ",0,1,"CS","CS"
"129","NzQu5SwAAAAJ","VINEET BAFNA ",0,7,"CS","XD"
"130","eSYDGdsAAAAJ","PHILLIP EC COMPEAU ",0,1,"CS","CS"
"131","0IHc9DUAAAAJ","CARL K CHANG ",0,1,"CS","CS"
"132","DhhH9J4AAAAJ","TAO XIE ",0,3,"CS","XD"
"133","0irVeiQAAAAJ","SRINIVASAN SESHAN ",0,3,"CS","CS"
"134","d_rxnzAAAAAJ","ADITYA AKELLA ",0,3,"CS","CS"
"135","pT8-2f0AAAAJ","DAMON MCCOY ",0,9,"CS","CS"
"136","0j1TcuMAAAAJ","ILYA J FINKELSTEIN ",0,1,"BIO","BIO"
"137","N_9p2rMAAAAJ","ERIC C GREENE ",0,1,"BIO","BIO"
"138","0lcJYs8AAAAJ","TIM ROUGHGARDEN ",0,3,"CS","CS"
"139","kLUQrrYAAAAJ","AARON LEON ROTH ",0,3,"CS","CS"
"140","3qPiYJoAAAAJ","DEVAVRAT SHAH ",0,4,"CS","XD"
"141","0NdRYeoAAAAJ","DANIEL L RABOSKY ",0,1,"BIO","BIO"
"142","_wlHRTUAAAAJ","MICHAEL E ALFARO ",0,1,"BIO","BIO"
"143","0OdjAAkAAAAJ","GONZALO GIRIBET ",0,2,"BIO","BIO"
"144","0oj4N0sAAAAJ","EDMUND D BRODIE ",0,3,"BIO","BIO"
"145","NjfTEZsAAAAJ","CURTIS M LIVELY ",0,2,"BIO","BIO"
"146","mwtIqCEAAAAJ","JAMES D BEVER ",0,8,"BIO","BIO"
"147","0pdiFKEAAAAJ","NIKOS HARDAVELLAS ",0,1,"CS","CS"
