"","Source","Target","Type","Id","Label","Interval","Weight"
"1","--nVNvIAAAAJ","in6eBIwAAAAJ","Direct","--nVNvIAAAAJ_in6eBIwAAAAJ","Direct","",1
"2","-234SKAAAAAJ","RKvl6OoAAAAJ","Direct","-234SKAAAAAJ_RKvl6OoAAAAJ","Direct","",1
"3","-31-oa0AAAAJ","eMc-6hoAAAAJ","Direct","-31-oa0AAAAJ_eMc-6hoAAAAJ","Direct","",1
"4","-31-oa0AAAAJ","IjbhBJsAAAAJ","Direct","-31-oa0AAAAJ_IjbhBJsAAAAJ","Direct","",1
"5","-31-oa0AAAAJ","f4eLuf8AAAAJ","Direct","-31-oa0AAAAJ_f4eLuf8AAAAJ","Direct","",1
"6","-6cOYcYAAAAJ","HtgKHRIAAAAJ","Direct","-6cOYcYAAAAJ_HtgKHRIAAAAJ","Direct","",1
"7","HtgKHRIAAAAJ","0Qr2IGwAAAAJ","Direct","HtgKHRIAAAAJ_0Qr2IGwAAAAJ","Direct","",1
"8","-6cOYcYAAAAJ","0Qr2IGwAAAAJ","Direct","-6cOYcYAAAAJ_0Qr2IGwAAAAJ","Direct","",1
"9","-6cOYcYAAAAJ","ZxXBaswAAAAJ","Direct","-6cOYcYAAAAJ_ZxXBaswAAAAJ","Direct","",1
"10","-6cOYcYAAAAJ","YPzKczYAAAAJ","Direct","-6cOYcYAAAAJ_YPzKczYAAAAJ","Direct","",1
"11","-cL-RwUAAAAJ","-Dg42W8AAAAJ","Direct","-cL-RwUAAAAJ_-Dg42W8AAAAJ","Direct","",1
"12","-cwEbxUAAAAJ","TkayRqQAAAAJ","Direct","-cwEbxUAAAAJ_TkayRqQAAAAJ","Direct","",1
"13","-cwEbxUAAAAJ","2X5Wru0AAAAJ","Direct","-cwEbxUAAAAJ_2X5Wru0AAAAJ","Direct","",1
"14","-cwEbxUAAAAJ","Ws0GjboAAAAJ","Direct","-cwEbxUAAAAJ_Ws0GjboAAAAJ","Direct","",1
"15","Ws0GjboAAAAJ","UT5I0hAAAAAJ","Direct","Ws0GjboAAAAJ_UT5I0hAAAAAJ","Direct","",1
"16","-cwEbxUAAAAJ","UT5I0hAAAAAJ","Direct","-cwEbxUAAAAJ_UT5I0hAAAAAJ","Direct","",1
"17","-D2TBHUAAAAJ","ujDhg2sAAAAJ","Direct","-D2TBHUAAAAJ_ujDhg2sAAAAJ","Direct","",1
"18","-DEyRIgAAAAJ","-had2Q8AAAAJ","Direct","-DEyRIgAAAAJ_-had2Q8AAAAJ","Direct","",1
"19","-GT5PAkAAAAJ","gNMqz_4AAAAJ","Direct","-GT5PAkAAAAJ_gNMqz_4AAAAJ","Direct","",1
"20","-GT5PAkAAAAJ","2OJOZTUAAAAJ","Direct","-GT5PAkAAAAJ_2OJOZTUAAAAJ","Direct","",1
"21","-had2Q8AAAAJ","n-FCqMEAAAAJ","Direct","-had2Q8AAAAJ_n-FCqMEAAAAJ","Direct","",1
"22","-had2Q8AAAAJ","sflJAhgAAAAJ","Direct","-had2Q8AAAAJ_sflJAhgAAAAJ","Direct","",1
"23","-had2Q8AAAAJ","sILsSIsAAAAJ","Direct","-had2Q8AAAAJ_sILsSIsAAAAJ","Direct","",1
"24","sILsSIsAAAAJ","PBo0rn4AAAAJ","Direct","sILsSIsAAAAJ_PBo0rn4AAAAJ","Direct","",1
"25","-had2Q8AAAAJ","PBo0rn4AAAAJ","Direct","-had2Q8AAAAJ_PBo0rn4AAAAJ","Direct","",1
"26","-HwCwkAAAAAJ","sXpY0CUAAAAJ","Direct","-HwCwkAAAAAJ_sXpY0CUAAAAJ","Direct","",1
"27","-iLn_XwAAAAJ","GAOlOs4AAAAJ","Direct","-iLn_XwAAAAJ_GAOlOs4AAAAJ","Direct","",1
"28","-IMW-w0AAAAJ","CZyWk8kAAAAJ","Direct","-IMW-w0AAAAJ_CZyWk8kAAAAJ","Direct","",1
"29","-IMW-w0AAAAJ","NcIqQ88AAAAJ","Direct","-IMW-w0AAAAJ_NcIqQ88AAAAJ","Direct","",1
"30","NcIqQ88AAAAJ","CZyWk8kAAAAJ","Direct","NcIqQ88AAAAJ_CZyWk8kAAAAJ","Direct","",1
"31","CZyWk8kAAAAJ","PVdTviYAAAAJ","Direct","CZyWk8kAAAAJ_PVdTviYAAAAJ","Direct","",1
"32","-IMW-w0AAAAJ","PVdTviYAAAAJ","Direct","-IMW-w0AAAAJ_PVdTviYAAAAJ","Direct","",1
"33","-Jbd9DsAAAAJ","JoAxSpgAAAAJ","Direct","-Jbd9DsAAAAJ_JoAxSpgAAAAJ","Direct","",1
"34","-Jbd9DsAAAAJ","MwIL3roAAAAJ","Direct","-Jbd9DsAAAAJ_MwIL3roAAAAJ","Direct","",1
"35","-m5wrTkAAAAJ","NHZdlVkAAAAJ","Direct","-m5wrTkAAAAJ_NHZdlVkAAAAJ","Direct","",1
"36","-m5wrTkAAAAJ","dShqnssAAAAJ","Direct","-m5wrTkAAAAJ_dShqnssAAAAJ","Direct","",1
"37","-m5wrTkAAAAJ","8GA4R2wAAAAJ","Direct","-m5wrTkAAAAJ_8GA4R2wAAAAJ","Direct","",1
"38","8GA4R2wAAAAJ","dShqnssAAAAJ","Direct","8GA4R2wAAAAJ_dShqnssAAAAJ","Direct","",1
"39","8GA4R2wAAAAJ","NHZdlVkAAAAJ","Direct","8GA4R2wAAAAJ_NHZdlVkAAAAJ","Direct","",1
"40","dShqnssAAAAJ","NHZdlVkAAAAJ","Direct","dShqnssAAAAJ_NHZdlVkAAAAJ","Direct","",1
"41","-m5wrTkAAAAJ","BDYIAe4AAAAJ","Direct","-m5wrTkAAAAJ_BDYIAe4AAAAJ","Direct","",1
"42","-MQXqOkAAAAJ","djRAUcYAAAAJ","Direct","-MQXqOkAAAAJ_djRAUcYAAAAJ","Direct","",1
"43","-MQXqOkAAAAJ","01EOkNEAAAAJ","Direct","-MQXqOkAAAAJ_01EOkNEAAAAJ","Direct","",1
"44","-o3I0zUAAAAJ","sflJAhgAAAAJ","Direct","-o3I0zUAAAAJ_sflJAhgAAAAJ","Direct","",1
"45","-o3I0zUAAAAJ","VBXG4CwAAAAJ","Direct","-o3I0zUAAAAJ_VBXG4CwAAAAJ","Direct","",1
"46","VBXG4CwAAAAJ","7BM1uyYAAAAJ","Direct","VBXG4CwAAAAJ_7BM1uyYAAAAJ","Direct","",1
"47","-o3I0zUAAAAJ","7BM1uyYAAAAJ","Direct","-o3I0zUAAAAJ_7BM1uyYAAAAJ","Direct","",1
"48","-PWcE1YAAAAJ","XGiiygQAAAAJ","Direct","-PWcE1YAAAAJ_XGiiygQAAAAJ","Direct","",1
