"","google_id","year","citations","coauthor_codes"
"1","-0ppt6oAAAAJ",1993,267,"0,0,-0ppt6oAAAAJ"
"2","-0ppt6oAAAAJ",1992,52,"0,0,0,0,0,0,-0ppt6oAAAAJ"
"3","-0ppt6oAAAAJ",1993,285,"0,0,0,0,0,0,-0ppt6oAAAAJ"
"4","-0ppt6oAAAAJ",1992,18,"0,0,0,0,0,0,-0ppt6oAAAAJ"
"5","-0ppt6oAAAAJ",1995,46,"0,0,0,0,0,0,0,-0ppt6oAAAAJ"
"6","-0ppt6oAAAAJ",1993,25,"0,-0ppt6oAAAAJ"
"7","-0ppt6oAAAAJ",1995,31,"2,0,-0ppt6oAAAAJ"
"8","-0ppt6oAAAAJ",1993,13,"0,0,0,0,0,-0ppt6oAAAAJ"
"9","-0ppt6oAAAAJ",1995,892,"0,0,2,0,-0ppt6oAAAAJ"
"10","-0ppt6oAAAAJ",1994,129,"0,0,-0ppt6oAAAAJ"
"11","-0ppt6oAAAAJ",1991,9,"0,0,0,0,0,-0ppt6oAAAAJ"
"12","-5ZxgGsAAAAJ",1994,367,"-5ZxgGsAAAAJ"
"13","-5ZxgGsAAAAJ",1993,39,"-5ZxgGsAAAAJ"
"14","-5ZxgGsAAAAJ",1992,16,"-5ZxgGsAAAAJ"
"15","-5ZxgGsAAAAJ",1992,94,"-5ZxgGsAAAAJ"
"16","-5ZxgGsAAAAJ",1994,385,"2,-5ZxgGsAAAAJ"
"17","-6cOYcYAAAAJ",1994,10,"VizsSmEAAAAJ,-6cOYcYAAAAJ"
"18","-6cOYcYAAAAJ",1995,205,"VizsSmEAAAAJ,-6cOYcYAAAAJ"
"19","-6cOYcYAAAAJ",1995,76,"VizsSmEAAAAJ,-6cOYcYAAAAJ"
"20","-6FYTfMAAAAJ",1995,71,"0,-6FYTfMAAAAJ,0"
"21","-6FYTfMAAAAJ",1995,49,"-6FYTfMAAAAJ"
"22","-6FYTfMAAAAJ",1995,33,"0,-6FYTfMAAAAJ,0"
"23","-aQaHIoAAAAJ",1995,33,"-aQaHIoAAAAJ,0,0,0,0"
"24","-aQaHIoAAAAJ",1995,36,"0,-aQaHIoAAAAJ"
"25","-aQaHIoAAAAJ",1995,14,"0,0,-aQaHIoAAAAJ,0"
"26","-aQaHIoAAAAJ",1993,11,"0,-aQaHIoAAAAJ,0"
"27","-aQaHIoAAAAJ",1994,1,"0,-aQaHIoAAAAJ"
"28","-aQaHIoAAAAJ",1991,54,"-aQaHIoAAAAJ,0"
"29","-aQaHIoAAAAJ",1993,49,"-aQaHIoAAAAJ,0,0"
"30","-aQaHIoAAAAJ",1993,92,"0,-aQaHIoAAAAJ,0"
"31","-aQaHIoAAAAJ",1992,32,"0,-aQaHIoAAAAJ"
"32","-cL-RwUAAAAJ",1993,66,"-cL-RwUAAAAJ,0,0,0,0,0"
"33","-cL-RwUAAAAJ",1991,29,"-cL-RwUAAAAJ,0"
"34","-cL-RwUAAAAJ",1993,73,"-cL-RwUAAAAJ,0"
"35","-cL-RwUAAAAJ",1994,36,"-cL-RwUAAAAJ"
"36","-Dg42W8AAAAJ",1991,38,"0,-Dg42W8AAAAJ"
"37","-Dg42W8AAAAJ",1994,11,"0,-Dg42W8AAAAJ"
"38","-Dg42W8AAAAJ",1994,123,"-Dg42W8AAAAJ,0"
"39","-Dg42W8AAAAJ",1995,47,"0,-Dg42W8AAAAJ"
"40","-EXWOU0AAAAJ",1992,11,"1,1,1,-EXWOU0AAAAJ,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2"
"41","-EXWOU0AAAAJ",1993,7,"1,-EXWOU0AAAAJ,1,1"
"42","-EXWOU0AAAAJ",1995,6,"-EXWOU0AAAAJ,1"
"43","-EXWOU0AAAAJ",1995,4,"-EXWOU0AAAAJ,2"
"44","-EXWOU0AAAAJ",1994,5,"1,1,-EXWOU0AAAAJ,1,1,1,1,1,1"
"45","-EXWOU0AAAAJ",1995,30,"-EXWOU0AAAAJ,1"
"46","-EXWOU0AAAAJ",1995,29,"1,-EXWOU0AAAAJ"
"47","-EXWOU0AAAAJ",1993,15,"1,1,-EXWOU0AAAAJ,1"
"48","-EXWOU0AAAAJ",1995,12,"-EXWOU0AAAAJ,2"
"49","-EXWOU0AAAAJ",1995,11,"-EXWOU0AAAAJ,1"
"50","-EXWOU0AAAAJ",1995,1,"-EXWOU0AAAAJ,1"
"51","-EXWOU0AAAAJ",1993,19,"1,-EXWOU0AAAAJ,1,1,1,1,1"
"52","-EXWOU0AAAAJ",1995,6,"1,-EXWOU0AAAAJ,1"
"53","-GT5PAkAAAAJ",1992,184,"1,-GT5PAkAAAAJ"
"54","-GT5PAkAAAAJ",1991,9,"-GT5PAkAAAAJ"
"55","-GT5PAkAAAAJ",1994,34,"-GT5PAkAAAAJ"
"56","-GT5PAkAAAAJ",1994,37,"1,1,1,-GT5PAkAAAAJ"
"57","-GT5PAkAAAAJ",1994,1,"1,2,-GT5PAkAAAAJ"
"58","-GT5PAkAAAAJ",1993,4,"-GT5PAkAAAAJ,1"
"59","-GT5PAkAAAAJ",1993,9,"-GT5PAkAAAAJ,1"
"60","-GT5PAkAAAAJ",1991,26,"1,-GT5PAkAAAAJ"
"61","-GT5PAkAAAAJ",1991,7,"-GT5PAkAAAAJ"
"62","-GT5PAkAAAAJ",1993,7,"1,-GT5PAkAAAAJ"
"63","-GT5PAkAAAAJ",1992,10,"2,1,-GT5PAkAAAAJ,1"
"64","-GT5PAkAAAAJ",1992,7,"-GT5PAkAAAAJ,1"
"65","-GT5PAkAAAAJ",1993,364,"-GT5PAkAAAAJ,1"
"66","-GT5PAkAAAAJ",1991,5,"1,1,1,-GT5PAkAAAAJ"
"67","-GT5PAkAAAAJ",1993,1,"1,-GT5PAkAAAAJ"
"68","-GT5PAkAAAAJ",1995,13,"-GT5PAkAAAAJ"
"69","-GT5PAkAAAAJ",1995,13,"1,-GT5PAkAAAAJ"
"70","-GT5PAkAAAAJ",1993,8,"1,-GT5PAkAAAAJ,1"
"71","-GT5PAkAAAAJ",1991,15,"1,-GT5PAkAAAAJ"
"72","-GT5PAkAAAAJ",1992,22,"-GT5PAkAAAAJ"
"73","-GT5PAkAAAAJ",1994,25,"1,-GT5PAkAAAAJ"
"74","-GT5PAkAAAAJ",1991,53,"-GT5PAkAAAAJ"
"75","-GT5PAkAAAAJ",1993,5,"-GT5PAkAAAAJ"
"76","-GT5PAkAAAAJ",1995,10,"-GT5PAkAAAAJ,1"
"77","-GT5PAkAAAAJ",1992,161,"-GT5PAkAAAAJ"
"78","-GT5PAkAAAAJ",1991,12,"2,-GT5PAkAAAAJ"
"79","-GT5PAkAAAAJ",1991,8,"-GT5PAkAAAAJ"
"80","-GT5PAkAAAAJ",1991,52,"-GT5PAkAAAAJ"
"81","-GT5PAkAAAAJ",1991,433,"1,-GT5PAkAAAAJ,1"
"82","-GT5PAkAAAAJ",1993,4,"1,-GT5PAkAAAAJ,1"
"83","-GT5PAkAAAAJ",1992,63,"-GT5PAkAAAAJ"
"84","-GT5PAkAAAAJ",1994,2,"1,-GT5PAkAAAAJ"
"85","-GT5PAkAAAAJ",1993,43,"-GT5PAkAAAAJ"
"86","-H7Y-VUAAAAJ",1993,73,"0,-H7Y-VUAAAAJ,0"
"87","-H7Y-VUAAAAJ",1995,67,"0,-H7Y-VUAAAAJ"
"88","-H7Y-VUAAAAJ",1995,134,"-H7Y-VUAAAAJ"
"89","-H7Y-VUAAAAJ",1994,1,"-H7Y-VUAAAAJ"
"90","-had2Q8AAAAJ",1993,250,"-had2Q8AAAAJ,0,0"
"91","-had2Q8AAAAJ",1995,152,"-had2Q8AAAAJ,kUwCxIUAAAAJ,2"
