"","google_id","year","citations","coauthor_codes"
"1","-0ppt6oAAAAJ",2000,184,"0,0,0,0,0,-0ppt6oAAAAJ"
"2","-31-oa0AAAAJ",2000,43,"0,0,-31-oa0AAAAJ,0"
"3","-5DNOLIAAAAJ",2000,209,"0,0,-5DNOLIAAAAJ,2"
"4","-5ZxgGsAAAAJ",2000,1733,"-5ZxgGsAAAAJ,ca_O-WQAAAAJ,2"
"5","-6cOYcYAAAAJ",2000,45,"1,-6cOYcYAAAAJ"
"6","-6cOYcYAAAAJ",2000,198,"1,1,1,-6cOYcYAAAAJ,1"
"7","-6cOYcYAAAAJ",2000,25,"1,ZxXBaswAAAAJ,2,-6cOYcYAAAAJ"
"8","-6cOYcYAAAAJ",2000,27,"2,-6cOYcYAAAAJ"
"9","-6cOYcYAAAAJ",2000,12,"1,1,-6cOYcYAAAAJ"
"10","-6cOYcYAAAAJ",2000,153,"1,-6cOYcYAAAAJ,1,LQ87h3sAAAAJ"
"11","-6cOYcYAAAAJ",2000,2,"1,-6cOYcYAAAAJ,1,LQ87h3sAAAAJ"
"12","-6cOYcYAAAAJ",2000,174,"1,1,1,-6cOYcYAAAAJ,0Qr2IGwAAAAJ"
"13","-6cOYcYAAAAJ",2000,1453,"1,-6cOYcYAAAAJ"
"14","-6cOYcYAAAAJ",2000,306,"1,ZxXBaswAAAAJ,2,-6cOYcYAAAAJ"
"15","-6FYTfMAAAAJ",2000,92,"2,0,-6FYTfMAAAAJ,0,0,0,0,0,0"
"16","-78feYUAAAAJ",2000,59,"0,0,0,0,-78feYUAAAAJ,0,0,0,0"
"17","-aQaHIoAAAAJ",2000,57,"0,-aQaHIoAAAAJ"
"18","-aQaHIoAAAAJ",2000,76,"0,0,-aQaHIoAAAAJ,0"
"19","-aQaHIoAAAAJ",2000,125,"-aQaHIoAAAAJ"
"20","-aQaHIoAAAAJ",2000,72,"2,-aQaHIoAAAAJ,0"
"21","-cL-RwUAAAAJ",2000,34,"-cL-RwUAAAAJ,0"
"22","-cL-RwUAAAAJ",2000,36,"-cL-RwUAAAAJ,2,0,0"
"23","-cL-RwUAAAAJ",2000,21,"-cL-RwUAAAAJ,0,0"
"24","-cwEbxUAAAAJ",2000,100,"1,TkayRqQAAAAJ,-cwEbxUAAAAJ,2,1,1"
"25","-DEyRIgAAAAJ",2000,67,"0,-DEyRIgAAAAJ,-had2Q8AAAAJ,0"
"26","-Dg42W8AAAAJ",2000,14,"0,-Dg42W8AAAAJ"
"27","-Dg42W8AAAAJ",2000,48,"0,-Dg42W8AAAAJ"
"28","-Dg42W8AAAAJ",2000,67,"0,-Dg42W8AAAAJ"
"29","-EXWOU0AAAAJ",2000,44,"1,-EXWOU0AAAAJ"
"30","-EXWOU0AAAAJ",2000,4,"-EXWOU0AAAAJ,1,1,1,1"
"31","-EXWOU0AAAAJ",2000,17,"-EXWOU0AAAAJ,1,1,1,1,1,1"
"32","-EXWOU0AAAAJ",2000,25,"-EXWOU0AAAAJ"
"33","-EXWOU0AAAAJ",2000,30,"1,-EXWOU0AAAAJ"
"34","-GT5PAkAAAAJ",2000,1,"-GT5PAkAAAAJ"
"35","-GT5PAkAAAAJ",2000,40,"1,1,-GT5PAkAAAAJ,2"
"36","-GT5PAkAAAAJ",2000,6,"1,-GT5PAkAAAAJ"
"37","-GT5PAkAAAAJ",2000,14,"-GT5PAkAAAAJ"
"38","-GT5PAkAAAAJ",2000,105,"1,1,1,-GT5PAkAAAAJ,1,1"
"39","-GT5PAkAAAAJ",2000,1,"-GT5PAkAAAAJ,1"
"40","-GT5PAkAAAAJ",2000,17,"-GT5PAkAAAAJ"
"41","-had2Q8AAAAJ",2000,43,"0,-had2Q8AAAAJ,0,0,0,2,2,0,0,0,0"
