"","google_id","year","citations","coauthor_codes"
"3138","Ph16U5wAAAAJ",1990,14,"1,1,1,1,1,1,Ph16U5wAAAAJ,1,1,1"
"3139","Ph16U5wAAAAJ",1990,47,"1,1,1,1,1,1,nNU3STcAAAAJ,Ph16U5wAAAAJ,1,1"
"3140","PHGvd5cAAAAJ",1990,6,"1,1,PHGvd5cAAAAJ,1"
"3141","PHhhXC0AAAAJ",1990,126,"PHhhXC0AAAAJ,2"
"3142","pHSfld4AAAAJ",1990,46,"pHSfld4AAAAJ"
"3143","pHSfld4AAAAJ",1990,310,"pHSfld4AAAAJ"
"3144","PiddTHsAAAAJ",1990,27,"0,PiddTHsAAAAJ,0,0"
"3145","PiddTHsAAAAJ",1990,35,"0,PiddTHsAAAAJ"
"3146","PiddTHsAAAAJ",1990,24,"PiddTHsAAAAJ,2"
"3147","pJ28HA0AAAAJ",1990,3,"pJ28HA0AAAAJ"
"3148","pJ28HA0AAAAJ",1990,55,"pJ28HA0AAAAJ,WxQyOYQAAAAJ"
"3149","Pjjq5SQAAAAJ",1990,31,"Pjjq5SQAAAAJ,1"
"3150","Pjjq5SQAAAAJ",1990,1,"1,Pjjq5SQAAAAJ"
"3151","Pjjq5SQAAAAJ",1990,15,"Pjjq5SQAAAAJ,2,1"
"3152","Pjjq5SQAAAAJ",1990,13,"Pjjq5SQAAAAJ,1,1,1"
"3153","pK034F0AAAAJ",1990,282,"pK034F0AAAAJ,0"
"3154","PkfChMgAAAAJ",1990,19,"1,PkfChMgAAAAJ"
"3155","PkfChMgAAAAJ",1990,242,"Wj4ZBFIAAAAJ,WYctQAQAAAAJ,1,PkfChMgAAAAJ"
"3156","PkfChMgAAAAJ",1990,3,"1,PkfChMgAAAAJ"
"3157","PkfChMgAAAAJ",1990,45,"PkfChMgAAAAJ,1"
"3158","PkfChMgAAAAJ",1990,82,"UCiXhq4AAAAJ,WYctQAQAAAAJ,PkfChMgAAAAJ"
"3159","PkfChMgAAAAJ",1990,18,"tp07xT0AAAAJ,PkfChMgAAAAJ"
"3160","PkfChMgAAAAJ",1990,704,"PkfChMgAAAAJ"
"3161","PKr0chgAAAAJ",1990,29,"0,0,PKr0chgAAAAJ"
"3162","pktpbkEAAAAJ",1990,3,"pktpbkEAAAAJ"
"3163","pKuBFaQAAAAJ",1990,3,"pKuBFaQAAAAJ,1"
"3164","pKuBFaQAAAAJ",1990,71,"pKuBFaQAAAAJ,1"
"3165","pKuBFaQAAAAJ",1990,154,"pKuBFaQAAAAJ,1"
"3166","pKuBFaQAAAAJ",1990,10,"1fEZ_osAAAAJ,pKuBFaQAAAAJ,1"
"3167","pKuBFaQAAAAJ",1990,6,"1,1,pKuBFaQAAAAJ,1"
"3168","pKuBFaQAAAAJ",1990,772,"pKuBFaQAAAAJ,1"
"3169","PLJ0L4QAAAAJ",1990,76,"1,0nBysEcAAAAJ,1,1,PLJ0L4QAAAAJ,1,1,1,1,1"
"3170","PLt9wB8AAAAJ",1990,41,"PLt9wB8AAAAJ"
"3171","PLt9wB8AAAAJ",1990,1,"PLt9wB8AAAAJ"
"3172","PLt9wB8AAAAJ",1990,1,"1,PLt9wB8AAAAJ"
"3173","PLt9wB8AAAAJ",1990,3,"PLt9wB8AAAAJ"
"3174","PLt9wB8AAAAJ",1990,3,"PLt9wB8AAAAJ"
"3175","PLt9wB8AAAAJ",1990,35,"twwFv3QAAAAJ,PLt9wB8AAAAJ"
"3176","PLt9wB8AAAAJ",1990,3,"1,PLt9wB8AAAAJ"
"3177","PLt9wB8AAAAJ",1990,60,"1,1,1,PLt9wB8AAAAJ"
"3178","plYoF-MAAAAJ",1990,32,"1,2,plYoF-MAAAAJ,1,n3LTWi8AAAAJ"
"3179","plYoF-MAAAAJ",1990,5,"2,plYoF-MAAAAJ,1"
"3180","plYoF-MAAAAJ",1990,26,"plYoF-MAAAAJ,2,1"
"3181","plYoF-MAAAAJ",1990,27,"1,plYoF-MAAAAJ"
"3182","plYoF-MAAAAJ",1990,16,"plYoF-MAAAAJ"
"3183","plYoF-MAAAAJ",1990,9,"1,plYoF-MAAAAJ,uLsDDUMAAAAJ"
"3184","pNKH6b8AAAAJ",1990,1,"0,2,0,pNKH6b8AAAAJ"
"3185","pNKH6b8AAAAJ",1990,8,"2,2,zGSP_osAAAAJ,pNKH6b8AAAAJ,2"
"3186","pNKH6b8AAAAJ",1990,2,"2,pNKH6b8AAAAJ"
"3187","pOd2M64AAAAJ",1990,38,"pOd2M64AAAAJ"
"3188","pOd2M64AAAAJ",1990,124,"rD8a4hQAAAAJ,pOd2M64AAAAJ"
"3189","PogsVkYAAAAJ",1990,3,"PogsVkYAAAAJ"
"3190","PogsVkYAAAAJ",1990,54,"ujDhg2sAAAAJ,PogsVkYAAAAJ"
"3191","PogsVkYAAAAJ",1990,41,"1,GmcChLIAAAAJ,PogsVkYAAAAJ"
"3192","PogsVkYAAAAJ",1990,72,"1,PogsVkYAAAAJ"
"3193","PogsVkYAAAAJ",1990,157,"1,PogsVkYAAAAJ"
"3194","PogsVkYAAAAJ",1990,62,"1,PogsVkYAAAAJ"
"3195","pPB_WK0AAAAJ",1990,23,"1,1,pPB_WK0AAAAJ"
"3196","pPB_WK0AAAAJ",1990,29,"1,pPB_WK0AAAAJ"
"3197","PqdLgQ0AAAAJ",1990,23,"PqdLgQ0AAAAJ,1"
"3198","PqdLgQ0AAAAJ",1990,7,"PqdLgQ0AAAAJ"
"3199","PqtYDZQAAAAJ",1990,61,"0,0,0,0,PqtYDZQAAAAJ,0"
"3200","PqtYDZQAAAAJ",1990,90,"0,0,2,PqtYDZQAAAAJ,0,0"
"3201","PqtYDZQAAAAJ",1990,59,"0,0,0,2,PqtYDZQAAAAJ"
"3202","PqtYDZQAAAAJ",1990,79,"2,0,PqtYDZQAAAAJ,0"
"3203","PqtYDZQAAAAJ",1990,219,"0,2,PqtYDZQAAAAJ,0"
"3204","pr8YcVIAAAAJ",1990,348,"pr8YcVIAAAAJ"
"3205","pRWAwVEAAAAJ",1990,58,"2,0,0,pRWAwVEAAAAJ,0,2"
"3206","PUFxrroAAAAJ",1990,42,"PUFxrroAAAAJ,2"
"3207","PUFxrroAAAAJ",1990,4,"1,PUFxrroAAAAJ,1,1,1"
"3208","PUFxrroAAAAJ",1990,113,"PUFxrroAAAAJ"
"3209","PUFxrroAAAAJ",1990,47,"PUFxrroAAAAJ,2"
