"","Source","Target","Type","Id","Label","Interval","Weight"
"47","04TuVhEAAAAJ","98iA_ooAAAAJ","Direct","04TuVhEAAAAJ_98iA_ooAAAAJ","Direct","",1
"48","00M1AqQAAAAJ","0zrqo3B-66wC","Direct","00M1AqQAAAAJ_0zrqo3B-66wC","Direct","",1
"49","0zrqo3B-66wC","98iA_ooAAAAJ","Direct","0zrqo3B-66wC_98iA_ooAAAAJ","Direct","",1
"50","00M1AqQAAAAJ","98iA_ooAAAAJ","Direct","00M1AqQAAAAJ_98iA_ooAAAAJ","Direct","",1
"51","00M1AqQAAAAJ","xdGKgtcAAAAJ","Direct","00M1AqQAAAAJ_xdGKgtcAAAAJ","Direct","",1
"52","00M1AqQAAAAJ","U6OVPVMAAAAJ","Direct","00M1AqQAAAAJ_U6OVPVMAAAAJ","Direct","",1
"53","Wj4ZBFIAAAAJ","5X_j0lwAAAAJ","Direct","Wj4ZBFIAAAAJ_5X_j0lwAAAAJ","Direct","",1
"54","Wj4ZBFIAAAAJ","MYqlcPgAAAAJ","Direct","Wj4ZBFIAAAAJ_MYqlcPgAAAAJ","Direct","",1
"55","00M1AqQAAAAJ","5X_j0lwAAAAJ","Direct","00M1AqQAAAAJ_5X_j0lwAAAAJ","Direct","",1
"56","5X_j0lwAAAAJ","MYqlcPgAAAAJ","Direct","5X_j0lwAAAAJ_MYqlcPgAAAAJ","Direct","",1
"57","00M1AqQAAAAJ","MYqlcPgAAAAJ","Direct","00M1AqQAAAAJ_MYqlcPgAAAAJ","Direct","",1
"58","Wj4ZBFIAAAAJ","uFJi3IUAAAAJ","Direct","Wj4ZBFIAAAAJ_uFJi3IUAAAAJ","Direct","",1
"59","Wj4ZBFIAAAAJ","93yNuV0AAAAJ","Direct","Wj4ZBFIAAAAJ_93yNuV0AAAAJ","Direct","",1
"60","00M1AqQAAAAJ","uFJi3IUAAAAJ","Direct","00M1AqQAAAAJ_uFJi3IUAAAAJ","Direct","",1
"61","uFJi3IUAAAAJ","93yNuV0AAAAJ","Direct","uFJi3IUAAAAJ_93yNuV0AAAAJ","Direct","",1
"62","00M1AqQAAAAJ","93yNuV0AAAAJ","Direct","00M1AqQAAAAJ_93yNuV0AAAAJ","Direct","",1
