"","Id","Label","Interval","Weight","Dept","Orientation"
"1","-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,1,"CS","CS"
"2","VizsSmEAAAAJ","CHARLES R DYER ",0,11,"CS","CS"
"3","-cL-RwUAAAAJ","BARRY ANDREW TRIMMER ",0,1,"BIO","BIO"
"4","-Dg42W8AAAAJ","SARA M LEWIS ",0,1,"BIO","BIO"
"5","EAzpJiQAAAAJ","MARK E HAY ",0,1,"BIO","BIO"
"6","-EXWOU0AAAAJ","DMH WALKER ",0,1,"CS","CS"
"7","-had2Q8AAAAJ","DAVID G DRUBIN ",0,5,"BIO","BIO"
"8","kUwCxIUAAAAJ","RONG LI ",0,3,"BIO","BIO"
"9","PBo0rn4AAAAJ","MATTHEW D WELCH ",0,3,"BIO","BIO"
"10","C1c54H4AAAAJ","TIM STEARNS ",0,1,"BIO","BIO"
"11","nwNHXf4AAAAJ","JAMES A SPUDICH ",0,7,"BIO","BIO"
"12","-HwCwkAAAAAJ","MARC S MANGEL ",0,1,"BIO","BIO"
"13","cFbbY_gAAAAJ","DANIEL T BLUMSTEIN ",0,1,"BIO","BIO"
"14","-Jbd9DsAAAAJ","GOPAL GUPTA ",0,1,"CS","CS"
"15","MwIL3roAAAAJ","BHARAT JAYARAMAN ",0,2,"CS","CS"
"16","-spRnaQAAAAJ","JAVED ALEXANDER ASLAM ",0,1,"CS","CS"
"17","6qE0tdAAAAAJ","RONALD L RIVEST ",0,9,"CS","CS"
"18","-UyfaYEAAAAJ","STANLEY FALKOW ",0,4,"BIO","BIO"
"19","Lb4-GKsAAAAJ","DAVID A RELMAN ",0,2,"BIO","BIO"
"20","puOEoqoAAAAJ","THOMAS M SCHMIDT ",0,3,"BIO","BIO"
"21","9EkM1A8AAAAJ","TIMOTHY A RYAN ",0,1,"BIO","BIO"
"22","PqtYDZQAAAAJ","RAYMOND L RODRIGUEZ ",0,2,"BIO","BIO"
"23","-XpZ4fgAAAAJ","SCOTT ALAN MAHLKE ",0,1,"CS","CS"
"24","Wov5tYoAAAAJ","DAVID I AUGUST ",0,1,"CS","CS"
"25","-yrzguMAAAAJ","SRINIVAS DEVADAS ",0,1,"CS","CS"
"26","-YvgZDEAAAAJ","ABRAHAM SILBERSCHATZ ",0,3,"CS","CS"
"27","SKVnHakAAAAJ","HOSAGRAHAR VISVESVARAYA JAGADISH ",0,6,"CS","CS"
"28","MTZaRW4AAAAJ","SHARAD MEHROTRA ",0,6,"CS","CS"
"29","sxjynOsAAAAJ","FRED B SCHNEIDER ",0,6,"CS","CS"
"30","00M1AqQAAAAJ","JOHN DAVID KUBIATOWICZ ",0,1,"CS","CS"
"31","U6OVPVMAAAAJ","FREDERIC T CHONG ",0,2,"CS","CS"
"32","01EOkNEAAAAJ","ROEL NUSSE ",0,1,"BIO","BIO"
"33","l5mmRVoAAAAJ","HENK ROELINK ",0,1,"BIO","BIO"
"34","02nHF0gAAAAJ","RAJESH PN RAO ",0,2,"CS","CS"
"35","67aYFTQAAAAJ","DANA H BALLARD ",0,6,"CS","CS"
"36","02_kT4YAAAAJ","JEFF ERICKSON ",0,1,"CS","CS"
"37","05UuCNQAAAAJ","JERRY M MELILLO ",0,8,"BIO","XD"
"38","EBnjjY8AAAAJ","EDWARD B RASTETTER ",0,6,"BIO","BIO"
"39","D9UDlHYAAAAJ","RICHARD GILBERT LATHROP ",0,1,"CS","XD"
"40","wQzELzEAAAAJ","CHRISTOPHER NEILL ",0,2,"BIO","BIO"
"41","uzDaznAAAAAJ","JOSHUA P SCHIMEL ",0,1,"BIO","BIO"
"42","kiQQEhMAAAAJ","LESLIE A REAL ",0,5,"BIO","BIO"
"43","7PeekG0AAAAJ","SIMON A LEVIN ",0,4,"BIO","BIO"
"44","oAj9a-wAAAAJ","STEPHEN R CARPENTER ",0,10,"BIO","BIO"
"45","0cy3s0AAAAAJ","RACHEL D GREEN ",0,2,"BIO","BIO"
"46","A0XsdIMAAAAJ","ANDREW D ELLINGTON ",0,2,"BIO","BIO"
"47","Sha9_3YAAAAJ","J MICHAEL CHERRY ",0,4,"BIO","BIO"
"48","0DpK1EMAAAAJ","TUOMAS W SANDHOLM ",0,1,"CS","CS"
"49","0ESwQagAAAAJ","THOMAS J GIVNISH ",0,1,"BIO","BIO"
"50","nVksQusAAAAJ","KENNETH J SYTSMA ",0,6,"BIO","BIO"
"51","0fq5QeIAAAAJ","PAVEL A PEVZNER ",0,4,"CS","XD"
"52","ciQ3dn0AAAAJ","MARK YU BORODOVSKY ",0,1,"CS","CS"
"53","NzQu5SwAAAAJ","VINEET BAFNA ",0,2,"CS","CS"
"54","h5gEfxsAAAAJ","XIAOQIU HUANG ",0,2,"CS","XD"
"55","0fVKnEcAAAAJ","MICHAEL TRAVISANO ",0,1,"BIO","BIO"
"56","wjPrcoUAAAAJ","RICHARD E LENSKI ",0,4,"BIO","XD"
"57","0iJRaawAAAAJ","JAMES P COHOON ",0,2,"CS","CS"
"58","YTJrQA4AAAAJ","GABRIEL ROBINS ",0,4,"CS","CS"
"59","gMQWxE0AAAAJ","SARTAJ KUMAR SAHNI ",0,4,"CS","CS"
"60","0irVeiQAAAAJ","SRINIVASAN SESHAN ",0,5,"CS","CS"
"61","Wj4ZBFIAAAAJ","DAVID A PATTERSON ",0,14,"CS","XD"
"62","WYctQAQAAAAJ","GARTH A GIBSON ",0,11,"CS","CS"
