"","Id","Label","Interval","Weight","Dept","Orientation"
"79","8fztli4AAAAJ","KEN Y GOLDBERG ",0,1,"CS",""
"80","D_JpQnAAAAAJ","MATTHEW T MASON ",0,1,"CS",""
"81","8odG5jkAAAAJ","KEITH S DECKER ",0,2,"CS",""
"82","izMnGyMAAAAJ","VICTOR R LESSER ",0,2,"CS",""
"83","8v3hRYcAAAAJ","JAMES JEFFREY BULL ",0,1,"BIO",""
"84","9s9o-JcAAAAJ","DAVID D CLARK ",0,2,"CS",""
"85","9VDFIQoAAAAJ","LENWOOD SCOTT HEATH ",0,1,"CS",""
"86","gg4kYgwAAAAJ","EDWARD A FOX ",0,1,"CS",""
"87","a-qMWpwAAAAJ","JOHN PATRICK HAYES ",0,1,"CS",""
"88","A45mhtsAAAAJ","LISA HELLERSTEIN ",0,2,"CS",""
"89","gVUD47sAAAAJ","PHILIP NATHAN KLEIN ",0,5,"CS",""
"90","a7VNhCIAAAAJ","DIMITRIS N METAXAS ",0,1,"CS",""
"91","A9tBw58AAAAJ","GENE D COOPERMAN ",0,1,"CS",""
"92","I4iKZSkAAAAJ","LARRY FINKELSTEIN ",0,1,"CS",""
"93","ArqLh94AAAAJ","WILLIAM M BEMENT ",0,2,"BIO",""
"94","cYmUpBQAAAAJ","DAVID G CAPCO ",0,2,"BIO",""
"95","ATOfqHEAAAAJ","HANAN SAMET ",0,4,"CS",""
"96","v0tJmyYAAAAJ","CLIFFORD A SHAFFER ",0,2,"CS",""
"97","vX45evgAAAAJ","WALID G AREF ",0,2,"CS",""
"98","aucB85kAAAAJ","AGGELOS K KATSAGGELOS ",0,1,"CS",""
"99","axOnEnQAAAAJ","ALEXANDER I RUDNICKY ",0,2,"CS",""
"100","Py54GcEAAAAJ","ALEXANDER G HAUPTMANN ",0,2,"CS",""
"101","bAa___kAAAAJ","HECTOR GARCIA-MOLINA ",0,6,"CS",""
"102","wtZwMSgAAAAJ","DANIEL BARBARA ",0,2,"CS",""
"103","nvKQ7JQAAAAJ","PETER SCHEUERMANN ",0,2,"CS",""
"104","C_cWJIkAAAAJ","CHRIS CLIFTON ",0,2,"CS",""
"105","bCTAqq4AAAAJ","TEOFILO F GONZALEZ ",0,1,"CS",""
"106","gMQWxE0AAAAJ","SARTAJ KUMAR SAHNI ",0,2,"CS",""
"107","bh-uRFMAAAAJ","TREVOR J DARRELL ",0,2,"CS",""
"108","nXBQn7gAAAAJ","STAN SCLAROFF ",0,1,"CS",""
"109","oAMW4OEAAAAJ","MICAH BECK ",0,4,"CS",""
"110","BJAXIbQAAAAJ","JOSEPH N WILSON ",0,1,"CS",""
"111","GD3jwG8AAAAJ","PAUL D GADER ",0,1,"CS",""
"112","bkN-YUkAAAAJ","CHARLES CHILTON WEEMS ",0,2,"CS",""
"113","4Ts9jNQAAAAJ","ALAN D SUSSMAN ",0,1,"CS",""
"114","QaLf6bEAAAAJ","DAVID A PADUA ",0,1,"CS",""
"115","BnxU9TEAAAAJ","VIPIN KUMAR ",0,1,"CS",""
"116","PHGvd5cAAAAJ","RABI N MAHAPATRA ",0,1,"CS",""
"117","bWTPrLEAAAAJ","JOHN N TSITSIKLIS ",0,2,"CS",""
"118","VUmcVOAAAAAJ","DIMITRI P BERTSEKAS ",0,2,"CS",""
"119","ca_O-WQAAAAJ","LARRY F ABBOTT ",0,1,"BIO",""
"120","CfnktjkAAAAJ","JOAN ELIZABETH STRASSMANN ",0,1,"BIO",""
"121","x8Cp75oAAAAJ","DAVID C QUELLER ",0,1,"BIO",""
"122","CoxGqVsAAAAJ","ELLIOT M MEYEROWITZ ",0,1,"BIO",""
"123","iIPwqbMAAAAJ","CHRISTOPHER H MARTIN ",0,1,"BIO",""
"124","Da-s1FQAAAAJ","KADANGODE K RAMAKRISHNAN ",0,1,"CS",""
"125","runT3RsAAAAJ","RAJ JAIN ",0,1,"CS",""
"126","DaGZRjAAAAAJ","HOWARD OCHMAN ",0,2,"BIO",""
"127","h_MOIUUAAAAJ","DANIEL L HARTL ",0,2,"BIO",""
"128","DbZWZr8AAAAJ","NEIL IMMERMAN ",0,1,"CS",""
"129","LXVfPc8AAAAJ","ERIC S LANDER ",0,1,"BIO",""
"130","dHiM2IcAAAAJ","PHILIPPE MAX FAUCHET ",0,1,"CS",""
"131","usw1MV0AAAAJ","J AN CHEN ",0,1,"CS",""
"132","DQaARsgAAAAJ","MOSHE Y VARDI ",0,4,"CS",""
"133","Lu7biGYAAAAJ","PHOKION G KOLAITIS ",0,4,"CS",""
"134","FsBCAfgAAAAJ","JOSEPH Y HALPERN ",0,2,"CS",""
"135","DW7krlcAAAAJ","DOROTA ZOFIA HAMAN ",0,2,"BIO",""
"136","g26ZEaoAAAAJ","BRIAN JH BOMAN ",0,2,"BIO",""
