"","Source","Target","Type","Id","Label","Interval","Weight"
"1","--nVNvIAAAAJ","--nVNvIAAAAJ","Direct","--nVNvIAAAAJ_--nVNvIAAAAJ","Direct","",1
"2","-0ppt6oAAAAJ","-0ppt6oAAAAJ","Direct","-0ppt6oAAAAJ_-0ppt6oAAAAJ","Direct","",1
"3","-0ppt6oAAAAJ","-0ppt6oAAAAJ","Direct","-0ppt6oAAAAJ_-0ppt6oAAAAJ","Direct","",1
"4","-0ppt6oAAAAJ","-0ppt6oAAAAJ","Direct","-0ppt6oAAAAJ_-0ppt6oAAAAJ","Direct","",1
"5","-0ppt6oAAAAJ","-0ppt6oAAAAJ","Direct","-0ppt6oAAAAJ_-0ppt6oAAAAJ","Direct","",1
"6","-0rEuLgAAAAJ","-0rEuLgAAAAJ","Direct","-0rEuLgAAAAJ_-0rEuLgAAAAJ","Direct","",1
"7","-0rEuLgAAAAJ","-0rEuLgAAAAJ","Direct","-0rEuLgAAAAJ_-0rEuLgAAAAJ","Direct","",1
"8","-0rEuLgAAAAJ","-0rEuLgAAAAJ","Direct","-0rEuLgAAAAJ_-0rEuLgAAAAJ","Direct","",1
"9","-234SKAAAAAJ","-234SKAAAAAJ","Direct","-234SKAAAAAJ_-234SKAAAAAJ","Direct","",1
"10","-234SKAAAAAJ","RKvl6OoAAAAJ","Direct","-234SKAAAAAJ_RKvl6OoAAAAJ","Direct","",1
"11","-234SKAAAAAJ","-234SKAAAAAJ","Direct","-234SKAAAAAJ_-234SKAAAAAJ","Direct","",1
"12","-31-oa0AAAAJ","-31-oa0AAAAJ","Direct","-31-oa0AAAAJ_-31-oa0AAAAJ","Direct","",1
"13","-31-oa0AAAAJ","eMc-6hoAAAAJ","Direct","-31-oa0AAAAJ_eMc-6hoAAAAJ","Direct","",1
"14","-5DNOLIAAAAJ","-5DNOLIAAAAJ","Direct","-5DNOLIAAAAJ_-5DNOLIAAAAJ","Direct","",1
"15","-5LVcdsAAAAJ","-5LVcdsAAAAJ","Direct","-5LVcdsAAAAJ_-5LVcdsAAAAJ","Direct","",1
"16","-6cOYcYAAAAJ","-6cOYcYAAAAJ","Direct","-6cOYcYAAAAJ_-6cOYcYAAAAJ","Direct","",1
"17","-6cOYcYAAAAJ","-6cOYcYAAAAJ","Direct","-6cOYcYAAAAJ_-6cOYcYAAAAJ","Direct","",1
