"","Id","Label","Interval","Weight","Dept","Orientation"
"1","-0ppt6oAAAAJ","YURY O CHERNOFF ",0,1,"BIO",""
"2","-31-oa0AAAAJ","ERIC A WEBB ",0,1,"BIO",""
"3","-5DNOLIAAAAJ","ELIZABETH M QUINLAN ",0,1,"BIO",""
"4","-5ZxgGsAAAAJ","KENNETH DON MILLER ",0,1,"BIO",""
"5","ca_O-WQAAAAJ","LARRY F ABBOTT ",0,1,"BIO",""
"6","-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,1,"CS",""
"7","ZxXBaswAAAAJ","FRANK DELLAERT ",0,1,"CS",""
"8","LQ87h3sAAAAJ","TAKEO KANADE ",0,1,"CS",""
"9","0Qr2IGwAAAAJ","ZORAN POPOVI ",0,1,"CS",""
"10","-6FYTfMAAAAJ","HENRY M PAGE ",0,1,"BIO",""
"11","-78feYUAAAAJ","LAURA M HURLEY ",0,1,"BIO",""
"12","-aQaHIoAAAAJ","GIACOMO BERNARDI ",0,1,"BIO",""
"13","-cL-RwUAAAAJ","BARRY ANDREW TRIMMER ",0,1,"BIO",""
"14","-cwEbxUAAAAJ","CHRIS BAILEY-KELLOGG ",0,1,"CS",""
"15","TkayRqQAAAAJ","BRUCE RANDALL DONALD ",0,1,"CS",""
"16","-DEyRIgAAAAJ","AVITAL ADAH RODAL ",0,1,"BIO",""
"17","-had2Q8AAAAJ","DAVID G DRUBIN ",0,1,"BIO",""
"18","-Dg42W8AAAAJ","SARA M LEWIS ",0,1,"BIO",""
"19","-EXWOU0AAAAJ","DMH WALKER ",0,1,"CS",""
"20","-GT5PAkAAAAJ","PAUL ANTHONY FISHWICK ",0,1,"CS",""
"21","-HwCwkAAAAAJ","MARC S MANGEL ",0,1,"BIO",""
"22","-iLn_XwAAAAJ","HOPI E HOEKSTRA ",0,1,"BIO",""
"23","-IMW-w0AAAAJ","BEICHUAN ZHANG ",0,1,"CS",""
"24","-Jbd9DsAAAAJ","GOPAL GUPTA ",0,1,"CS",""
"25","-jW6ADwAAAAJ","BILL TOMLINSON ",0,1,"CS",""
"26","-LPp6oUAAAAJ","AARON D GITLER ",0,1,"BIO",""
"27","-LyegNoAAAAJ","NEAL F LUE ",0,1,"BIO",""
"28","-m5wrTkAAAAJ","GAUTAM BISWAS ",0,1,"CS",""
"29","dShqnssAAAAJ","GABOR KARSAI ",0,1,"CS",""
"30","-MQXqOkAAAAJ","DAVID SAMUEL SCHNEIDER ",0,1,"BIO",""
"31","-o3I0zUAAAAJ","ZHIPING WENG ",0,1,"BIO",""
"32","-PWcE1YAAAAJ","RAN CANETTI ",0,1,"CS",""
"33","gqB23VMAAAAJ","AMIT SAHAI ",0,1,"CS",""
"34","3yPEc4YAAAAJ","YEVGENIY DODIS ",0,1,"CS",""
"35","-PWYRzIAAAAJ","GRETCHEN E HOFMANN ",0,1,"BIO",""
"36","-pyztDMAAAAJ","TANZEEM KHALID CHOUDHURY ",0,1,"CS",""
"37","-QZrYjsAAAAJ","BENJAMIN OHLSTEIN ",0,1,"BIO",""
"38","-rcrelQAAAAJ","TYSON L HEDRICK ",0,1,"BIO",""
"39","oy7TshoAAAAJ","ANDREW AUSTIN BIEWENER ",0,1,"BIO",""
"40","-spRnaQAAAAJ","JAVED ALEXANDER ASLAM ",0,1,"CS",""
"41","r49_E2cAAAAJ","CLIFFORD STEIN ",0,1,"CS",""
"42","-teHhxwAAAAJ","MARK A PEIFER ",0,1,"BIO",""
"43","-UyfaYEAAAAJ","STANLEY FALKOW ",0,1,"BIO",""
"44","Lb4-GKsAAAAJ","DAVID A RELMAN ",0,1,"BIO",""
"45","-vC_l2kAAAAJ","STEPHANIE CLAUDENE WEIRICH ",0,1,"CS",""
"46","-vrMfNMAAAAJ","JOHN E GATESY ",0,1,"BIO",""
"47","-xOxPsUAAAAJ","STEPHEN DOUGLAS HENDRIX ",0,1,"BIO",""
"48","-XpZ4fgAAAAJ","SCOTT ALAN MAHLKE ",0,1,"CS",""
"49","-XXZGEoAAAAJ","SCOTT ANTHONY GERBER ",0,1,"BIO",""
"50","-yrzguMAAAAJ","SRINIVAS DEVADAS ",0,1,"CS",""
"51","-YvgZDEAAAAJ","ABRAHAM SILBERSCHATZ ",0,1,"CS",""
"52","TciP6mcAAAAJ","PRASHANT J SHENOY ",0,1,"CS",""
"53","-_yz0eUAAAAJ","INGRID M PARKER ",0,1,"BIO",""
"54","0-hcsnoAAAAJ","ELIZABETH LOWDEN BRAINERD ",0,1,"BIO",""
"55","00M1AqQAAAAJ","JOHN DAVID KUBIATOWICZ ",0,1,"CS",""
"56","04TuVhEAAAAJ","DAVID SAMUEL BINDEL ",0,1,"CS",""
