"","X","Id","Label","Interval","Weight","Dept","Orientation"
"1",1,"-0ppt6oAAAAJ","YURY O CHERNOFF ",0,1,"BIO",NA
"2",2,"-5ZxgGsAAAAJ","KENNETH DON MILLER ",0,1,"BIO",NA
"3",3,"-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,1,"CS",NA
"4",4,"-aQaHIoAAAAJ","GIACOMO BERNARDI ",0,1,"BIO",NA
"5",5,"-Dg42W8AAAAJ","SARA M LEWIS ",0,1,"BIO",NA
"6",6,"-GT5PAkAAAAJ","PAUL ANTHONY FISHWICK ",0,1,"CS",NA
"7",7,"-had2Q8AAAAJ","DAVID G DRUBIN ",0,1,"BIO",NA
"8",8,"-HwCwkAAAAAJ","MARC S MANGEL ",0,1,"BIO",NA
"9",9,"-Jbd9DsAAAAJ","GOPAL GUPTA ",0,1,"CS",NA
"10",10,"MwIL3roAAAAJ","BHARAT JAYARAMAN ",0,1,"CS",NA
"11",11,"-LyegNoAAAAJ","NEAL F LUE ",0,1,"BIO",NA
"12",12,"-m5wrTkAAAAJ","GAUTAM BISWAS ",0,1,"CS",NA
"13",13,"-PWYRzIAAAAJ","GRETCHEN E HOFMANN ",0,1,"BIO",NA
"14",14,"-spRnaQAAAAJ","JAVED ALEXANDER ASLAM ",0,1,"CS",NA
"15",15,"6qE0tdAAAAAJ","RONALD L RIVEST ",0,1,"CS",NA
"16",16,"-teHhxwAAAAJ","MARK A PEIFER ",0,1,"BIO",NA
"17",17,"-UyfaYEAAAAJ","STANLEY FALKOW ",0,1,"BIO",NA
"18",18,"Lb4-GKsAAAAJ","DAVID A RELMAN ",0,1,"BIO",NA
"19",19,"puOEoqoAAAAJ","THOMAS M SCHMIDT ",0,1,"BIO",NA
"20",20,"-yrzguMAAAAJ","SRINIVAS DEVADAS ",0,1,"CS",NA
"21",21,"-YvgZDEAAAAJ","ABRAHAM SILBERSCHATZ ",0,1,"CS",NA
"22",22,"00M1AqQAAAAJ","JOHN DAVID KUBIATOWICZ ",0,1,"CS",NA
"23",23,"01EOkNEAAAAJ","ROEL NUSSE ",0,1,"BIO",NA
"24",24,"l5mmRVoAAAAJ","HENK ROELINK ",0,1,"BIO",NA
"25",25,"04pdXhgAAAAJ","PEIXUAN GUO ",0,1,"BIO",NA
"26",26,"05UuCNQAAAAJ","JERRY M MELILLO ",0,1,"BIO",NA
"27",27,"060zUaAAAAAJ","KAREN L CARLETON ",0,1,"BIO",NA
"28",28,"0ahvXiEAAAAJ","MICHAEL P CUMMINGS ",0,1,"BIO",NA
"29",29,"0cy3s0AAAAAJ","RACHEL D GREEN ",0,1,"BIO",NA
"30",30,"A0XsdIMAAAAJ","ANDREW D ELLINGTON ",0,1,"BIO",NA
"31",31,"Sha9_3YAAAAJ","J MICHAEL CHERRY ",0,1,"BIO",NA
"32",32,"0e8QmOMAAAAJ","JEFFREY L DENBURG ",0,1,"BIO",NA
"33",33,"0ESwQagAAAAJ","THOMAS J GIVNISH ",0,1,"BIO",NA
"34",34,"0IHc9DUAAAAJ","CARL K CHANG ",0,1,"CS",NA
"35",35,"0iJRaawAAAAJ","JAMES P COHOON ",0,1,"CS",NA
"36",36,"0nBysEcAAAAJ","ALFRED KOBSA ",0,1,"CS",NA
"37",37,"0oj4N0sAAAAJ","EDMUND D BRODIE ",0,1,"BIO",NA
"38",38,"0RMteS0AAAAJ","SHIVAKANT MISHRA ",0,1,"CS",NA
"39",39,"hmq4rGIAAAAJ","LARRY L PETERSON ",0,1,"CS",NA
"40",40,"0skgDnMAAAAJ","ALFRED CHARLES WEAVER ",0,1,"CS",NA
"41",41,"0sU4eAwAAAAJ","VICTORIA J ROWNTREE ",0,1,"BIO",NA
"42",42,"0udXcCEAAAAJ","DON J MELNICK ",0,1,"BIO",NA
"43",43,"0VzUxIcAAAAJ","DARRELL WHITLEY ",0,1,"CS",NA
"44",44,"0XV1sFsAAAAJ","SIMON SINSING LAM ",0,1,"CS",NA
"45",45,"0y6JDD4AAAAJ","MAHADEV SATYANARAYANAN ",0,1,"CS",NA
"46",46,"0YlwI5MAAAAJ","BRUCE TIDOR ",0,1,"CS",NA
"47",47,"0zZnyMEAAAAJ","WILLIAM T FREEMAN ",0,1,"CS",NA
"48",48,"17FnXRkAAAAJ","CARY O HARDING ",0,1,"BIO",NA
"49",49,"17H27fYAAAAJ","SARA C HOTCHKISS ",0,1,"BIO",NA
"50",50,"1a17o2YAAAAJ","DAVID JOSEPH SULLIVAN ",0,1,"BIO",NA
"51",51,"1fEZ_osAAAAJ","BABA C VEMURI ",0,1,"CS",NA
"52",52,"pKuBFaQAAAAJ","DEMETRI TERZOPOULOS ",0,1,"CS",NA
"53",53,"1HYDaVIAAAAJ","JAMES D ASPNES ",0,1,"CS",NA
"54",54,"1h_0s3wAAAAJ","SUSAN KAYE MCCONNELL ",0,1,"BIO",NA
"55",55,"y0lYi-cAAAAJ","MICHAEL E DAILEY ",0,1,"BIO",NA
"56",56,"1jE4flwAAAAJ","DONALD ALVIN LEVIN ",0,1,"BIO",NA
"57",57,"1nr7TU0AAAAJ","BRANDON S GAUT ",0,1,"BIO",NA
"58",58,"1NtRHc4AAAAJ","L THORNE MCCARTY ",0,1,"CS",NA
"59",59,"8ys-38kAAAAJ","WILLIAM W COHEN ",0,1,"CS",NA
"60",60,"1s3GeggAAAAJ","PHILIP A REA ",0,1,"BIO",NA
"61",61,"1somGYUAAAAJ","MILTON H SAIER ",0,1,"BIO",NA
"62",62,"1UnT11UAAAAJ","PETER B SARGENT ",0,1,"BIO",NA
"63",63,"1uX0rugAAAAJ","THOMAS P SAKMAR ",0,1,"BIO",NA
"64",64,"1u_MQY8AAAAJ","JOHN HJ PETRINI ",0,1,"BIO",NA
"65",65,"1vk3NxsAAAAJ","ANDREAS MATOUSCHEK ",0,1,"BIO",NA
"66",66,"1WIPsm0AAAAJ","MICHAEL JOSEPH RYAN ",0,1,"BIO",NA
"67",67,"1wq5H9oAAAAJ","ROBERT A WEINBERG ",0,1,"BIO",NA
"68",68,"1z3mv7EAAAAJ","LUBERT STRYER ",0,1,"BIO",NA
"69",69,"AzdflHYAAAAJ","THEODORE G WENSEL ",0,1,"BIO",NA
"70",70,"qRAMJHgAAAAJ","TOBIAS MEYER ",0,1,"BIO",NA
"71",71,"2-jY1SQAAAAJ","KEVIN J SULLIVAN ",0,1,"CS",NA
"72",72,"22aEccUAAAAJ","EDWARD C THERIOT ",0,1,"BIO",NA
"73",73,"25pGNr8AAAAJ","DIANE C SLUSARSKI ",0,1,"BIO",NA
"74",74,"27ytbx8AAAAJ","JAMES T KADONAGA ",0,1,"BIO",NA
