"","Id","Label","Interval","Weight","Dept","Orientation"
"1","--nVNvIAAAAJ","KYLE ANDREW JAMIESON ",0,1,"CS",""
"2","-0CQuX8AAAAJ","JINGYI FEI ",0,1,"BIO",""
"3","NK7srJYAAAAJ","CHRIS H WIGGINS ",0,1,"BIO",""
"4","-0iKXsgAAAAJ","RAMIN RAMEZANI ",0,1,"CS",""
"5","-0nYQVIAAAAJ","NATHAN JB KRAFT ",0,1,"BIO",""
"6","JEApEv4AAAAJ","CHRISTY M MCCAIN ",0,1,"BIO",""
"7","AANigvoAAAAJ","ELLEN I DAMSCHEN ",0,1,"BIO",""
"8","-0ppt6oAAAAJ","YURY O CHERNOFF ",0,1,"BIO",""
"9","-0rEuLgAAAAJ","CHANGXI ZHENG ",0,1,"CS",""
"10","r70ags0AAAAJ","DOUG L JAMES ",0,1,"CS",""
"11","-234SKAAAAAJ","FRANK JAMES STEWART ",0,1,"BIO",""
"12","RKvl6OoAAAAJ","IRENE LG NEWTON ",0,1,"BIO",""
"13","-31-oa0AAAAJ","ERIC A WEBB ",0,1,"BIO",""
"14","Fz-5bdcAAAAJ","DOUGLAS G CAPONE ",0,1,"BIO",""
"15","-5DNOLIAAAAJ","ELIZABETH M QUINLAN ",0,1,"BIO",""
"16","-5LVcdsAAAAJ","MENG SHYAN CHOY ",0,1,"BIO",""
"17","-5ZxgGsAAAAJ","KENNETH DON MILLER ",0,1,"BIO",""
"18","-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,1,"CS",""
"19","Db4BCX8AAAAJ","NOAH SNAVELY ",0,1,"CS",""
"20","wCxzFrMAAAAJ","YASUTAKA FURUKAWA ",0,1,"CS",""
"21","P97vI1EAAAAJ","IRA KEMELMACHER-SHLIZERMAN ",0,1,"CS",""
"22","-6FYTfMAAAAJ","HENRY M PAGE ",0,1,"BIO",""
"23","-78feYUAAAAJ","LAURA M HURLEY ",0,1,"BIO",""
"24","-aQaHIoAAAAJ","GIACOMO BERNARDI ",0,1,"BIO",""
"25","-BLWw_kAAAAJ","GABRIEL E ZENTNER ",0,1,"BIO",""
"26","-chjN0MAAAAJ","ROBERT M PRINGLE ",0,1,"BIO",""
"27","tsUKOwYAAAAJ","JUDITH L BRONSTEIN ",0,1,"BIO",""
"28","-cL-RwUAAAAJ","BARRY ANDREW TRIMMER ",0,1,"BIO",""
"29","-cwEbxUAAAAJ","CHRIS BAILEY-KELLOGG ",0,1,"CS",""
"30","2X5Wru0AAAAJ","ALAN M FRIEDMAN ",0,1,"BIO",""
"31","w1OP2yAAAAAJ","DEVIN J BALKCOM ",0,1,"CS",""
"32","-D2TBHUAAAAJ","NOEMIE ELHADAD ",0,1,"BIO",""
"33","-Dg42W8AAAAJ","SARA M LEWIS ",0,1,"BIO",""
"34","-E5k6m4AAAAJ","GIL ZUSSMAN ",0,1,"CS",""
"35","FM3vRPgAAAAJ","DAN RUBENSTEIN ",0,1,"CS",""
"36","QH90248AAAAJ","ALON EFRAT ",0,1,"CS",""
"37","xe0eVksAAAAJ","PANKAJ K AGARWAL ",0,1,"CS",""
"38","-ERiTHkAAAAJ","GILLIAN HEATHER GILE ",0,1,"BIO",""
"39","-fxI3cUAAAAJ","SEAN R COLLINS ",0,1,"BIO",""
"40","qRAMJHgAAAAJ","TOBIAS MEYER ",0,1,"BIO",""
"41","-GT5PAkAAAAJ","PAUL ANTHONY FISHWICK ",0,1,"CS",""
"42","QclQnxIAAAAJ","BENJAMIN CHAK LOK ",0,1,"CS",""
"43","-H7Y-VUAAAAJ","CLAUDIA MAY TYLER ",0,1,"BIO",""
"44","-had2Q8AAAAJ","DAVID G DRUBIN ",0,1,"BIO",""
"45","-HwCwkAAAAAJ","MARC S MANGEL ",0,1,"BIO",""
"46","GHMy08gAAAAJ","JOSEPH E MERZ ",0,1,"BIO",""
"47","-iLn_XwAAAAJ","HOPI E HOEKSTRA ",0,1,"BIO",""
"48","0SHFWCkAAAAJ","HEIDI S FISHER ",0,1,"BIO",""
"49","TeWDBlIAAAAJ","STEVEN M PHELPS ",0,1,"BIO",""
"50","CaVJjX8AAAAJ","CHELSEA DVORAK SPECHT ",0,1,"BIO",""
"51","cI-fi9MAAAAJ","ERICH D JARVIS ",0,1,"BIO",""
"52","r5al7kkAAAAJ","GENE E ROBINSON ",0,1,"BIO",""
"53","7BM1uyYAAAAJ","SAURABH SINHA ",0,1,"CS",""
"54","-IMW-w0AAAAJ","BEICHUAN ZHANG ",0,1,"CS",""
"55","CZyWk8kAAAAJ","LIXIA ZHANG ",0,1,"CS",""
"56","TsVU8EcAAAAJ","CHRISTOS PAPADOPOULOS ",0,1,"CS",""
"57","3_WYcR4AAAAJ","DEBORAH E ESTRIN ",0,1,"CS",""
"58","cA28Zs0AAAAJ","TAREK FAROUK ABDELZAHER ",0,1,"CS",""
"59","-Jbd9DsAAAAJ","GOPAL GUPTA ",0,1,"CS",""
"60","-jW6ADwAAAAJ","BILL TOMLINSON ",0,1,"CS",""
"61","6c5cf1wAAAAJ","PHOEBE SENGERS ",0,1,"CS",""
"62","-Jz7TjkAAAAJ","MALAIYALAM MARIAPPAN ",0,1,"BIO",""
"63","-LPp6oUAAAAJ","AARON D GITLER ",0,1,"BIO",""
"64","-LyegNoAAAAJ","NEAL F LUE ",0,1,"BIO",""
"65","-m5wrTkAAAAJ","GAUTAM BISWAS ",0,1,"CS",""
"66","NHZdlVkAAAAJ","XENOFON D KOUTSOUKOS ",0,1,"CS",""
"67","-MQXqOkAAAAJ","DAVID SAMUEL SCHNEIDER ",0,1,"BIO",""
"68","-NkxFNoAAAAJ","MAHESH BALAKRISHNAN ",0,1,"CS",""
"69","-o3I0zUAAAAJ","ZHIPING WENG ",0,1,"BIO",""
"70","xYLmV7YAAAAJ","PHILLIP D ZAMORE ",0,1,"BIO",""
"71","8ArX12gAAAAJ","ALEXANDER MEISSNER ",0,1,"BIO",""
"72","JOkym8oAAAAJ","HANS A HOFMANN ",0,1,"BIO",""
"73","G-HYm8EAAAAJ","OLIVER J RANDO ",0,1,"BIO",""
"74","-OdJO1UAAAAJ","DANIEL JAMES KLIEBENSTEIN ",0,1,"BIO",""
"75","JQWeCFAAAAAJ","KATAYOON DEHESH ",0,1,"BIO",""
"76","-PWcE1YAAAAJ","RAN CANETTI ",0,1,"CS",""
"77","CO7nYfIAAAAJ","DANIEL WICHS ",0,1,"CS",""
"78","-PWYRzIAAAAJ","GRETCHEN E HOFMANN ",0,1,"BIO",""
"79","-pyztDMAAAAJ","TANZEEM KHALID CHOUDHURY ",0,1,"CS",""
"80","-qFHOKsAAAAJ","CHRISTIANE HASSEL ",0,1,"BIO",""
"81","_bACLswAAAAJ","STEVEN E JACOBSEN ",0,1,"BIO",""
"82","-QZrYjsAAAAJ","BENJAMIN OHLSTEIN ",0,1,"BIO",""
